,newinfections,hospitalized,recovered,deceased
0,0,0,0,0
21,0,0,0,0
42,0,0,0,0
63,1,1,0,0
84,0,1,0,0
105,1,2,0,0
126,3,3,0,0
147,0,3,0,0
168,1,5,0,0
189,1,7,0,0
210,1,8,0,0
231,1,9,0,0
252,2,11,0,0
273,6,14,0,0
294,13,25,0,0
315,8,26,0,1
336,0,26,0,1
357,46,59,4,2
378,5,56,4,2
399,23,65,4,2
420,25,100,6,3
441,39,108,7,4
462,53,126,7,6
483,34,140,7,7
504,122,228,8,11
525,64,238,10,17
546,80,229,13,22
567,58,267,15,33
588,76,280,20,38
609,26,291,21,46
630,124,307,23,52
651,133,344,23,63
672,71,360,24,68
693,116,381,30,76
714,160,397,36,88
735,52,391,74,102
756,56,408,95,115
777,35,413,102,123
798,61,416,113,133
819,66,437,116,146
840,65,425,119,153
861,75,414,125,158
882,18,406,127,169
903,78,404,136,172
924,60,393,146,179
945,72,363,171,194
966,83,358,181,198
987,106,369,190,206
1008,40,400,206,212
1029,53,405,211,224
1050,32,397,213,232
1071,29,385,224,240
1092,72,366,253,243
1113,97,362,255,246
1134,44,362,263,253
1155,34,357,276,258
1176,91,358,287,263
1197,55,353,329,271
1218,66,344,349,276
1239,52,353,405,280
1260,18,355,438,286
1281,29,349,478,293
1302,27,348,496,295
1323,15,351,545,299
1344,25,333,599,310
1365,24,328,632,315
1386,7,322,695,320
1407,18,313,713,324
1428,16,319,758,327
1449,32,316,798,330
1470,4,316,831,332
1491,25,300,881,335
1512,22,296,915,341
1533,25,275,954,348
1554,6,260,1014,351
1575,8,256,1055,355
1596,17,243,1073,359
1617,4,240,1132,366
1638,8,230,1197,370
1659,12,221,1263,375
1680,9,221,1275,379
1701,12,211,1313,381
1722,30,202,1372,383
1743,8,199,1379,385
1764,7,197,1392,388
1785,4,194,1419,389
1806,8,191,1499,389
1827,7,180,1549,391
1848,8,161,1647,394
1869,1,160,1659,394
1890,5,152,1736,398
1911,1,152,1781,400
1932,3,145,1921,400
1953,5,141,1969,400
1974,2,131,2011,402
1995,0,125,2063,404
2016,0,125,2063,404
2037,7,108,2064,405
2058,1,119,2093,408
