,newinfections,hospitalized,recovered,deceased
11,0,0,0,0
32,1,1,0,0
53,0,1,0,0
74,0,1,0,0
95,0,1,0,0
116,0,1,0,0
137,0,1,0,0
158,0,1,0,0
179,0,1,0,0
200,0,1,0,0
221,0,1,0,0
242,3,4,0,0
263,5,8,0,0
284,0,8,0,0
305,0,8,0,0
326,29,18,0,0
347,37,12,0,0
368,29,25,0,1
389,21,25,0,2
410,48,33,0,3
431,31,54,0,5
452,37,64,0,6
473,50,82,1,8
494,85,97,1,9
515,60,105,1,14
536,112,123,1,17
557,73,157,1,20
578,57,178,7,23
599,46,178,7,29
620,57,204,44,38
641,77,230,67,43
662,48,266,67,48
683,97,294,110,60
704,106,276,116,64
725,105,290,116,64
746,111,293,153,74
767,46,311,153,76
788,47,326,190,116
809,61,339,190,129
830,80,351,211,139
851,33,352,245,146
872,52,292,260,158
893,78,297,298,164
914,89,389,336,174
935,24,333,371,183
956,68,327,401,187
977,52,316,447,191
998,2,302,488,200
1019,141,228,378,205
1040,51,231,400,212
1061,35,216,406,214
1082,40,198,425,223
1103,43,214,449,225
1124,29,213,480,234
1145,29,207,530,239
1166,55,185,569,245
1187,14,179,605,249
1208,16,179,623,251
1229,6,176,648,256
1250,19,158,680,261
1271,21,164,1100,263
1292,20,155,1176,265
1313,5,152,1218,269
1334,15,166,1286,270
1355,2,151,1316,272
1376,9,133,1388,274
1397,11,139,1441,275
1418,10,123,1493,278
1439,7,123,1553,279
1460,1,120,1590,281
1481,5,113,1621,284
1502,1,110,1644,286
1523,1,110,1678,286
1544,9,98,1715,286
1565,6,87,1767,289
1586,9,64,1804,290
1607,2,69,1820,290
1628,3,70,1835,290
1649,0,63,1845,290
1670,3,63,1872,290
1691,3,61,1908,290
1712,0,55,1929,290
1733,0,53,1945,290
1754,3,55,1977,290
1775,1,58,1984,291
1796,5,52,1988,291
1817,0,48,2024,291
1838,0,55,2046,291
1859,3,39,2075,291
1880,0,40,2085,291
1901,3,35,2107,291
1922,0,34,2118,291
1943,0,33,2123,291
1964,0,32,2131,291
1985,2,21,2147,291
2006,0,22,2150,291
2027,1,17,2168,291
2048,1,17,2179,291
2069,1,17,2184,291
2090,0,16,2187,291
2111,0,16,2187,291
2132,0,9,2194,292
2153,1,12,2206,292
2174,1,9,2208,292
2195,3,9,2214,292
2216,1,9,2215,292
2237,0,9,2217,292
2258,0,9,2218,292
2279,2,10,2215,292
2300,2,10,2216,291
2321,2,9,2224,291
2342,3,10,2227,291
2363,0,9,2225,292
2384,0,9,2226,292
2405,0,9,2232,292
2426,2,10,2236,292
2447,2,4,2248,292
2468,0,4,2250,292
2489,4,5,2255,292
2510,11,5,2252,292
2531,0,4,2252,292
2552,1,4,2252,292
2573,0,4,2255,292
2594,0,4,2257,292
2615,2,5,2257,292
2636,1,4,2260,292
2657,2,3,2262,292
2678,0,4,2263,292
2699,3,4,2266,292
2720,0,3,2266,292
2741,0,3,2267,292
2762,3,3,2268,292
2783,2,3,2270,292
2804,0,3,2272,292
2825,1,3,2273,292
2846,2,6,2275,292
2867,3,6,2277,292
2888,5,6,2280,292
2909,3,6,2287,292
2930,5,6,2286,292
2951,7,6,2286,292
2972,1,6,2287,292
2993,3,6,2288,292
3014,1,6,2286,292
3035,4,6,2289,292
3056,1,6,2290,292
3077,1,6,2291,292
3098,0,6,2292,292
3119,1,6,2294,292
3140,0,6,2297,292
3161,1,6,2305,292
3182,1,6,2312,292
3203,6,6,2314,292
3224,5,7,2314,292
3245,2,7,2314,292
3266,2,7,2315,292
3287,5,7,2318,292
3308,6,7,2318,292
3329,15,7,2323,292
3350,8,7,2326,292
3371,3,7,2329,292
3392,6,7,2330,292
3413,6,7,2330,292
3434,5,8,2337,292
3455,12,8,2341,292
3476,4,8,2341,292
3497,5,8,2351,292
3518,7,8,2353,292
3539,1,8,2354,292
3560,1,6,2355,292
3581,4,6,2357,292
3602,3,8,2367,292
3623,3,8,2369,292
3644,9,8,2375,292
3665,9,8,2381,292
3686,2,9,2385,292
3707,0,9,2385,292
3728,7,9,2397,292
3749,21,9,2401,292
3770,5,9,2404,292
3791,19,9,2418,292
3812,13,9,2420,292
3833,15,9,2420,292
3854,9,9,2424,292
3875,5,9,2428,292
3896,9,9,2430,292
3917,8,9,2434,292
3938,9,10,2442,292
3959,8,10,2450,292
3980,3,10,2453,292
4001,13,10,2455,292
4022,10,10,2460,292
4043,4,10,2464,292
4064,11,10,2472,292
4085,23,10,2486,292
4106,7,10,2493,292
4127,0,10,2496,292
4148,4,8,2497,292
4169,10,8,2502,292
4190,20,8,2506,292
4211,26,8,2516,292
4232,25,8,2530,292
4253,40,8,2540,292
4274,7,8,2540,292
4295,21,16,2544,292
4316,12,19,2553,292
4337,15,17,2565,292
4358,72,17,2578,292
4379,26,17,2584,292
4400,20,17,2587,292
4421,20,17,2589,292
4442,8,21,2589,292
4463,37,21,2598,292
4484,20,21,2609,292
4505,52,21,2632,292
4526,29,26,2635,292
4547,22,26,2650,292
4568,25,26,2662,292
4589,8,28,2664,292
4610,17,28,2686,292
4631,29,28,2694,292
4652,21,28,2710,292
4673,24,28,2717,292
4694,32,28,2737,292
4715,17,21,2743,292
4736,17,21,2757,292
4757,55,22,2775,292
4778,69,31,2785,292
4799,85,37,2799,292
4820,92,37,2815,292
4841,84,36,2831,293
4862,45,44,2843,293
4883,34,57,2856,293
4904,124,57,2856,293
4925,98,63,2879,293
4946,128,72,2897,293
4967,155,72,2911,293
4988,171,74,2919,293
5009,85,74,2920,294
5030,209,103,2924,295
5051,189,103,2926,296
5072,247,114,2935,296
5093,269,114,2940,296
5114,277,145,2943,296
5135,339,158,2951,296
5156,321,164,2955,299
5177,242,181,2959,300
5198,190,196,2962,304
5219,298,208,2962,306
5240,350,251,2966,308
5261,547,255,2970,312
5282,534,290,2970,315
5303,437,316,2974,319
5324,495,315,2976,320
5345,249,342,2979,322
5366,762,368,2985,326
5387,713,391,4196,330
5408,773,397,4528,337
5429,781,437,4798,341
5450,583,452,4950,345
5471,375,464,5071,350
5492,386,464,5226,359
5513,694,490,5564,365
5534,820,494,5896,374
5555,690,500,6236,379
5576,628,522,6614,398
5597,544,530,6873,405
5618,258,526,6989,414
5639,581,520,7359,425
5660,696,508,7739,438
5681,736,506,8160,446
5702,548,489,8528,462
5723,535,491,9107,469
5744,260,511,9371,474
5765,160,499,9474,490
5786,341,483,9863,498
5807,292,474,10294,509
5828,410,456,10660,520
5849,494,445,11076,523
5870,437,456,11727,530
5891,183,465,11924,531
5912,94,448,12038,534
5933,317,449,12317,542
5954,374,463,12789,558
5975,285,450,13092,569
5996,266,441,13429,572
6017,248,442,13862,578
