,newinfections,hospitalized,recovered,deceased
2,0,0,0,0
23,0,0,0,0
44,0,0,0,0
65,0,0,0,0
86,1,0,0,0
107,0,0,0,0
128,0,0,0,0
149,0,0,0,0
170,0,0,0,0
191,0,0,0,0
212,1,1,0,0
233,2,2,0,0
254,0,2,0,0
275,5,5,0,0
296,2,8,2,0
317,2,10,2,0
338,6,12,2,0
359,14,16,1,0
380,5,21,1,0
401,22,26,1,0
422,8,38,1,1
443,21,43,1,1
464,25,55,1,1
485,15,56,2,1
506,40,73,2,3
527,38,87,2,4
548,28,89,5,5
569,38,94,5,8
590,19,102,5,7
611,27,109,5,10
632,32,116,7,11
653,42,124,7,14
674,101,125,7,18
695,61,129,11,21
716,59,143,12,25
737,33,148,14,31
758,12,149,17,36
779,10,160,21,38
800,22,182,23,41
821,42,200,26,45
842,8,193,30,49
863,54,187,33,56
884,22,184,37,58
905,16,183,40,60
926,26,185,44,60
947,15,183,48,61
968,27,182,50,65
989,14,184,57,66
1010,8,179,62,66
1031,5,172,70,67
1052,28,173,72,68
1073,15,167,81,71
1094,38,166,90,72
1115,-18,161,99,73
1136,20,159,106,73
1157,24,148,116,75
1178,3,147,135,75
1199,9,140,152,76
1220,13,135,163,76
1241,9,136,170,76
1262,10,130,178,80
1283,9,132,197,80
1304,1,126,212,80
1325,7,120,231,83
1346,1,119,248,85
1367,5,113,263,86
1388,6,111,282,86
1409,4,108,299,86
1430,0,104,311,88
1451,2,99,324,88
1472,4,97,356,88
1493,1,96,381,88
1514,3,90,389,89
1535,3,83,403,89
1556,1,75,417,90
1577,3,70,427,90
1598,3,68,445,91
1619,2,65,473,93
1640,4,66,477,93
1661,2,65,496,93
1682,3,61,524,95
1703,1,58,544,95
1724,7,58,582,95
1745,0,58,634,95
1766,0,55,655,95
1787,2,52,676,95
1808,3,50,707,96
1829,0,48,734,96
1850,1,48,759,96
1871,0,44,773,96
1892,0,44,786,96
1913,0,43,797,96
1934,0,42,823,96
1955,1,36,872,96
1976,0,32,892,96
1997,0,26,902,97
2018,0,24,910,97
2039,0,23,917,97
2060,0,21,926,97
2081,0,21,949,97
2102,0,20,951,97
2123,0,19,959,97
2144,1,18,965,97
2165,0,18,971,97
2186,0,18,971,97
2207,0,18,985,97
2228,0,18,994,97
2249,0,18,1008,97
2270,2,17,1012,97
2291,0,17,1017,97
2312,1,16,1020,97
2333,0,16,1021,97
2354,0,18,1028,97
2375,0,18,1029,97
2396,0,18,1032,97
2417,3,18,1033,97
2438,0,18,1034,97
2459,3,18,1040,97
2480,6,17,1040,97
2501,1,15,1044,97
2522,1,9,1050,97
2543,0,9,1050,97
2564,0,10,1050,97
2585,3,9,1051,97
2606,1,9,1051,97
2627,1,4,1057,97
2648,0,4,1057,97
2669,1,4,1057,97
2690,0,4,1058,97
2711,0,4,1059,97
2732,1,4,1060,97
2753,1,3,1060,97
2774,0,3,1060,97
2795,0,4,1060,97
2816,1,4,1060,97
2837,1,4,1060,97
2858,0,4,1060,97
2879,1,4,1062,97
2900,2,4,1062,97
2921,28,4,1062,97
2942,0,4,1062,97
2963,0,5,1062,97
2984,2,5,1062,97
3005,8,5,1064,97
3026,5,6,1065,97
3047,7,5,1066,97
3068,1,4,1070,97
3089,0,3,1071,97
3110,0,3,1071,97
3131,4,3,1071,97
3152,2,3,1071,97
3173,1,3,1071,97
3194,1,3,1071,97
3215,0,3,1071,97
3236,0,3,1072,97
3257,5,3,1072,97
3278,3,3,1072,97
3299,7,4,1072,97
3320,4,4,1072,97
3341,3,5,1075,97
3362,1,6,1075,97
3383,0,6,1075,97
3404,2,7,1076,97
3425,2,7,1076,97
3446,2,8,1088,97
3467,7,8,1089,97
3488,4,10,1089,97
3509,0,10,1090,97
3530,2,9,1091,97
3551,11,9,1091,97
3572,4,9,1097,97
3593,12,9,1100,97
3614,19,8,1105,97
3635,10,9,1105,97
3656,3,10,1105,97
3677,4,9,1106,97
3698,5,11,1106,97
3719,10,11,1120,97
3740,10,12,1129,97
3761,2,12,1129,97
3782,11,12,1135,97
3803,8,12,1135,97
3824,2,14,1136,97
3845,8,15,1141,97
3866,8,14,1146,97
3887,6,14,1146,97
3908,10,14,1146,97
3929,11,17,1148,97
3950,34,17,1148,97
3971,14,21,1149,97
3992,22,22,1150,97
4013,32,21,1158,97
4034,13,21,1167,97
4055,19,20,1167,97
4076,19,20,1173,98
4097,27,25,1176,98
4118,17,30,1187,98
4139,8,30,1194,98
4160,19,29,1207,98
4181,8,31,1207,98
4202,8,31,1215,98
4223,18,31,1215,98
4244,14,32,1222,98
4265,3,31,1245,98
4286,4,33,1250,98
4307,19,30,1254,98
4328,16,30,1254,98
4349,28,28,1266,98
4370,25,31,1267,98
4391,22,34,1273,98
4412,12,34,1278,98
4433,24,33,1280,98
4454,19,31,1284,98
4475,9,33,1298,98
4496,10,35,1300,98
4517,15,32,1308,100
4538,31,37,1308,100
4559,5,38,1311,100
4580,10,36,1323,100
4601,18,35,1330,100
4622,17,34,1365,100
4643,18,35,1382,100
4664,24,38,1386,100
4685,19,38,1387,101
4706,23,39,1402,101
4727,23,39,1422,102
4748,16,38,1432,102
4769,21,40,1441,102
4790,42,43,1447,103
4811,68,42,1457,103
4832,35,42,1458,103
4853,53,43,1467,104
4874,44,43,1486,104
4895,60,45,1498,104
4916,39,54,1524,104
4937,102,55,1581,104
4958,94,63,1585,104
4979,78,66,1585,104
5000,108,71,1595,104
5021,94,79,1607,104
5042,136,87,1614,105
5063,187,94,1644,105
5084,159,109,1645,105
5105,166,110,1657,105
5126,179,116,1671,106
5147,180,117,1678,108
5168,234,126,1768,111
5189,196,131,1785,111
5210,225,141,1798,113
5231,239,151,1799,114
5252,202,163,1825,116
5273,245,174,1831,117
5294,254,183,1841,118
5315,266,210,2069,121
5336,262,223,2074,124
5357,358,228,2078,128
5378,264,227,2101,132
5399,392,243,2175,136
5420,359,249,2305,140
5441,443,272,2319,144
5462,409,302,2319,151
5483,376,304,2400,156
5504,426,319,2402,157
5525,297,365,2575,164
5546,333,371,2594,169
5567,344,383,2880,174
5588,297,403,2942,180
5609,680,406,3145,187
5630,936,434,3278,197
5651,506,442,3332,202
5672,515,461,3447,213
5693,425,471,3447,217
5714,444,480,3616,222
5735,321,482,3832,239
5756,307,471,4146,243
5777,335,468,4345,250
5798,397,473,4536,254
5819,468,476,4643,259
5840,426,452,4894,272
5861,294,448,5139,281
5882,270,442,5449,295
5903,318,457,5762,301
5924,230,447,6062,310
5945,280,431,6629,322
5966,335,424,6987,329
5987,306,408,7196,339
6008,340,422,7533,343
6029,175,409,8018,353
6050,155,401,8141,360
6071,139,399,8513,366
6092,169,394,9026,373
6113,158,386,9538,379
6134,235,374,9835,384
6155,228,362,10022,392
6176,166,367,10244,396
6197,175,356,10616,399
6218,194,340,11046,403
6239,160,317,11131,408
6260,229,315,11803,414
6281,207,311,11999,421
