,newinfections,hospitalized,recovered,deceased
3,0,0,0,0
24,0,0,0,0
45,0,0,0,0
66,3,2,0,0
87,1,2,0,0
108,9,3,0,0
129,4,4,0,0
150,0,4,0,0
171,13,11,0,0
192,1,11,0,0
213,14,12,0,0
234,12,12,0,0
255,4,16,0,0
276,40,37,1,0
297,19,50,1,0
318,7,41,1,0
339,27,67,4,1
360,25,67,4,1
381,41,79,5,2
402,52,89,23,6
423,61,95,28,9
444,67,125,28,9
465,60,151,28,9
486,0,151,28,9
507,192,249,30,17
528,97,171,30,17
549,95,320,29,22
570,92,342,41,29
591,90,376,48,49
612,75,526,53,56
633,98,441,53,74
654,111,562,58,83
675,144,569,64,98
696,138,595,76,109
717,167,611,86,117
738,193,594,88,125
759,140,634,88,133
780,139,607,107,148
801,225,623,149,167
822,221,647,144,181
843,151,681,146,186
864,132,717,150,189
885,98,711,156,204
906,90,706,167,216
927,120,705,188,221
948,76,698,244,227
969,98,690,248,231
990,75,667,277,238
1011,87,608,305,242
1032,66,686,360,248
1053,99,700,415,260
1074,38,693,442,278
1095,80,694,483,286
1116,64,698,631,293
1137,37,681,643,300
1158,41,651,703,304
1179,45,647,746,309
1200,61,590,872,317
1221,50,576,860,327
1242,53,586,928,332
1263,44,568,1003,336
1284,17,598,1023,341
1305,32,581,1062,345
1326,18,578,1120,352
1347,31,577,1220,358
1368,30,549,1269,359
1389,13,513,1291,359
1410,21,507,1332,359
1431,15,497,1376,362
1452,25,485,1394,364
1473,14,462,1421,366
1494,20,433,1619,369
1515,14,458,1816,376
1536,9,442,2023,379
1557,21,446,2164,386
1578,14,441,2223,388
1599,12,455,2282,391
1620,14,459,2301,392
1641,13,434,2345,393
1662,15,421,2421,394
1683,9,406,2480,394
1704,15,358,2522,396
1725,14,367,2562,396
1746,16,359,2592,396
1767,11,359,2623,399
1788,12,347,2790,399
1809,7,330,2871,401
1830,9,321,2947,403
1851,10,321,3037,404
1872,11,305,3067,404
1893,5,319,3076,405
1914,6,294,3137,405
1935,12,291,3178,405
1956,6,281,3221,406
1977,4,266,3355,410
1998,10,243,3390,411
2019,10,243,3405,411
2040,5,232,3410,412
2061,4,230,3454,413
2082,3,243,3504,415
2103,12,210,3537,415
2124,1,165,3572,420
2145,0,140,3623,425
2166,0,104,3658,426
2187,4,92,3675,426
2208,2,88,3685,426
2229,5,76,3732,426
2250,1,76,3764,428
2271,3,76,3797,430
2292,-229,63,3832,430
2313,0,69,3841,430
2334,1,55,3860,430
2355,4,60,3894,430
2376,0,59,3910,430
2397,1,50,3925,431
2418,1,58,3942,431
2439,0,50,4059,431
2460,0,49,4059,431
2481,2,42,4060,431
2502,7,40,4060,431
2523,10,47,4062,431
2544,11,35,4066,431
2565,17,47,4067,431
2586,3,42,4070,431
2607,0,45,4071,431
2628,0,39,4071,431
2649,1,20,4073,431
2670,24,29,4077,432
2691,9,16,4078,432
2712,3,15,4080,432
2733,10,35,4083,432
2754,2,37,4084,432
2775,5,36,4086,432
