,newinfections,hospitalized,recovered,deceased
4,18,12,0,0
25,8,17,0,0
46,21,23,0,1
67,50,42,0,1
88,48,62,0,2
109,72,97,0,4
130,68,140,0,8
151,50,164,0,11
172,85,211,4,18
193,124,282,6,22
214,154,359,10,30
235,172,450,17,37
256,140,528,25,48
277,170,617,27,56
298,206,666,30,70
319,147,767,31,85
340,206,849,38,113
361,208,926,43,146
382,316,1070,51,201
403,381,1228,54,241
424,449,1384,68,284
445,429,1559,88,346
466,409,1789,134,393
487,594,2031,152,458
508,689,2160,177,531
529,754,2350,239,640
550,737,2532,329,715
571,850,2698,349,816
592,980,3122,423,892
613,719,3265,558,985
634,800,3474,721,1077
655,762,3655,792,1174
676,772,3769,960,1267
697,795,4011,1075,1344
718,736,4102,1141,1443
739,412,4130,1227,1538
760,543,4118,1477,1644
781,713,4257,1566,1732
802,546,4310,1663,1811
823,599,4279,1852,1902
844,608,4217,2040,1977
865,549,4214,2201,2051
886,467,4176,2397,2108
907,269,4116,2597,2180
928,409,4130,2890,2234
949,443,4077,3103,2316
970,451,3945,3381,2397
991,507,3871,3659,2481
1012,463,3826,3862,2564
1033,342,3821,4007,2615
1054,312,3801,4269,2705
1075,277,3713,4664,2788
1096,457,3676,4980,2843
1117,348,3639,5346,2903
1138,350,3530,5635,2965
1159,376,3455,5985,3023
1180,307,3427,6266,3079
1201,225,3327,6701,3147
1222,342,3246,7146,3204
1243,289,3155,7609,3269
1264,247,3071,8158,3303
1285,239,2964,8515,3347
1306,241,2940,8723,3386
1327,212,2887,9006,3431
1348,252,2802,9439,3472
1369,263,2753,9803,3512
1390,259,2352,12322,3551
1411,208,2309,12581,3579
1432,206,2229,12913,3614
1453,166,2194,13329,3642
1474,159,2167,13525,3666
1495,100,2108,13889,3705
1516,104,1992,14251,3737
1537,108,1899,14710,3766
1558,111,1843,15071,3797
1579,121,1759,15491,3827
1600,77,1712,15760,3845
1621,80,1678,15969,3867
1642,53,1520,16243,3885
1663,50,1288,16572,3905
1684,77,983,16825,3930
1705,54,877,17166,3943
1726,72,852,17370,3960
1747,50,832,17603,3973
1768,35,813,17756,3986
1789,47,769,17987,3997
1810,50,722,18258,4008
1831,53,684,18466,4025
1852,53,641,18703,4037
1873,43,608,18896,4047
1894,45,602,19046,4055
1915,29,596,19160,4068
1936,24,573,19389,4076
1957,16,537,19546,4083
1978,74,526,19857,4094
1999,38,505,20073,4102
2020,20,463,20373,4107
2041,31,450,20513,4114
2062,19,437,20617,4124
2083,19,408,20780,4136
2104,14,392,20856,4147
2125,18,369,21018,4154
2146,17,319,21198,4167
2167,17,291,21307,4171
2188,14,277,21405,4175
2209,20,270,21467,4179
2230,18,257,21605,4185
2251,24,253,21717,4192
2272,25,234,21803,4192
2293,33,217,22015,4196
2314,28,207,22130,4199
2335,17,206,22232,4204
2356,11,201,22377,4207
2377,13,191,22483,4209
2398,14,184,22551,4215
2419,32,170,22643,4219
2440,27,156,22727,4224
2461,28,151,22761,4230
2482,23,143,22818,4231
2503,22,141,22854,4235
2524,17,133,22935,4236
2545,44,129,22985,4245
2566,47,125,23034,4249
2587,46,121,23097,4252
2608,42,117,23142,4252
2629,21,120,23161,4253
2650,16,123,23185,4255
2671,20,120,23222,4260
2692,16,114,23242,4264
2713,27,105,23267,4265
2734,27,96,23284,4267
2755,51,96,23309,4267
2776,24,97,23340,4268
2797,38,99,23343,4268
2818,31,108,23377,4269
2839,49,109,23415,4269
2860,29,106,23434,4269
2881,53,106,23440,4269
2902,47,103,23481,4269
2923,71,103,23491,4269
2944,18,102,23496,4269
2965,13,102,23511,4271
2986,18,97,23548,4271
3007,46,97,23566,4271
3028,54,95,23586,4273
3049,40,93,23619,4274
3070,51,89,23638,4274
3091,42,97,23645,4277
3112,18,91,23662,4279
3133,57,88,23689,4281
3154,55,85,23719,4281
3175,63,83,23758,4283
3196,49,82,23778,4284
3217,61,79,23793,4285
3238,33,81,23814,4285
3259,20,75,23830,4286
3280,28,69,23865,4287
3301,35,69,23874,4289
3322,36,63,23885,4289
3343,56,71,23925,4291
3364,49,72,23943,4291
3385,34,71,23957,4291
3406,42,83,23978,4291
3427,47,77,23997,4291
3448,58,82,24011,4291
3469,54,83,24041,4292
3490,44,85,24046,4294
3511,69,85,24066,4295
3532,39,83,24073,4296
3553,19,80,24091,4298
3574,41,82,24115,4298
3595,37,83,24132,4298
3616,57,80,24150,4298
3637,71,79,24178,4453
3658,51,78,24178,4453
3679,41,78,24210,4453
3700,21,76,24255,4454
3721,76,88,24324,4455
3742,52,85,24355,4455
3763,82,85,24392,4455
3784,80,83,24408,4455
3805,127,85,24425,4456
3826,116,90,24434,4458
3847,65,95,24447,4458
3868,120,98,24455,4458
3889,171,101,24460,4458
3910,164,103,24467,4459
3931,149,108,24468,4459
3952,109,110,24478,4459
3973,117,115,24482,4463
3994,99,115,24497,4463
4015,107,114,24562,4463
4036,118,119,24598,4463
4057,126,127,24719,4463
4078,133,134,24790,4463
4099,124,138,24794,4464
4120,132,137,24803,4464
4141,94,146,24857,4465
4162,110,156,24942,4467
4183,110,160,24994,4468
4204,152,158,25027,4468
4225,138,169,25067,4469
4246,143,173,25096,4469
4267,127,183,25098,4469
4288,125,185,25184,4470
4309,106,193,25213,4470
4330,110,199,25224,4471
4351,121,203,25252,4472
4372,133,193,25313,4474
4393,115,188,25335,4476
4414,116,190,25361,4477
4435,56,207,25400,4478
4456,101,207,25520,4479
4477,99,212,25604,4480
4498,122,207,25701,4481
4519,99,217,25734,4481
4540,96,216,25864,4482
4561,85,216,25946,4482
4582,97,218,26016,4484
4603,101,219,26174,4484
4624,103,220,26276,4484
4645,163,212,26416,4484
4666,167,211,26468,4485
4687,179,223,26482,4486
4708,167,224,26556,4487
4729,172,225,26617,4490
4750,193,237,26668,4491
4771,184,245,26722,4492
4792,276,240,26812,4493
4813,383,257,26827,4494
4834,384,277,26837,4495
4855,337,309,26849,4496
4876,341,354,26982,4498
4897,339,418,27045,4502
4918,453,441,27124,4503
4939,544,465,27155,4504
4960,641,492,27175,4509
4981,526,506,27181,4515
5002,552,551,27222,4518
5023,507,609,27226,4523
5044,671,682,27257,4531
5065,889,722,27277,4537
5086,888,743,27304,4547
5107,1180,812,27343,4557
5128,1192,845,27345,4561
5149,1146,909,27544,4564
5170,1413,1037,27626,4579
5191,1212,1118,27671,4593
5212,1545,1177,27724,4601
5233,1763,1276,27764,4612
5254,2046,1348,27997,4631
5275,1758,1399,28033,4647
5296,1652,1520,28093,4664
5317,1912,1617,28123,4687
5338,1758,1715,28241,4699
5359,2180,1765,28403,4712
5380,1953,1850,28559,4752
5401,2009,1911,28619,4781
5422,2360,2030,28740,4816
5443,2025,2143,28978,4824
5464,2430,2235,29230,4845
5485,2428,2294,29516,4876
5506,2402,2322,29735,4925
5527,2384,2389,29947,4965
5548,2637,2474,30129,5008
5569,2822,2531,30275,5044
5590,2547,2640,30570,5067
5611,2219,2698,30902,5115
5632,2371,2693,31167,5168
5653,2160,2733,31587,5218
5674,2533,2778,32145,5265
5695,2723,2835,32672,5312
5716,2665,2915,33105,5350
5737,2347,2986,33309,5384
5758,2501,2966,33788,5439
5779,2130,3012,34681,5493
5800,2157,2937,37835,5548
5821,2165,2923,41116,5614
5842,2172,2918,43717,5684
5863,1850,2913,45089,5714
5884,2041,3004,45586,5753
5905,1471,2976,46894,5805
5926,1569,2939,48931,5874
5947,1766,2913,51674,5959
5968,2143,2965,53931,6022
5989,1964,2950,56270,6074
6010,1788,2977,59432,6162
6031,1891,3044,59951,6219
6052,1624,3015,64480,6268
6073,1079,3090,66191,6314
6094,1453,3074,68697,6386
6115,1211,3043,70508,6447
6136,1807,3035,72315,6529
6157,1940,3039,73421,6572
6178,1574,3053,74694,6645
6199,1238,3011,76205,6719
6220,1238,2985,79151,6797
6241,1667,3007,81008,6875
6262,1745,2971,82928,6950
6283,1641,3025,85872,7023
6304,1751,3053,87594,7083
6325,1594,3117,88011,7120
6346,1162,3101,91411,7188
6367,1129,3010,94188,7259
6388,1692,2919,96529,7335
6409,2127,2917,96910,7400
6430,1756,2844,100333,7424
6451,1283,2819,100659,7493
6472,750,2862,101255,7524
6493,894,2819,103543,7614
6514,1427,2871,105656,7683
6535,2116,2862,106428,7738
6556,2629,2874,109546,7808
6577,2035,2878,109818,7846
6598,1818,2891,113473,7887
6619,1600,2919,115260,7941
6640,1506,2928,115907,8005
6661,1576,2901,116526,8066
6682,2228,2941,119874,8130
6703,2026,2936,121855,8210
6724,1790,2919,122054,8279
6745,2193,2942,122647,8337
6766,1942,2979,122963,8403
6787,1563,2967,125749,8454
6808,1178,2908,129073,8520
6829,1515,2843,132548,8590
6850,1794,2742,134711,8657
6871,1674,2739,136567,8705
6892,1437,2763,138411,8746
6913,1153,2802,140114,8797
6934,1034,2752,142061,8872
6955,1090,2720,143747,8935
6976,1320,2674,145533,9008
6997,1347,2622,147663,9051
7018,1310,2607,149419,9084
7039,1208,2602,149966,9119
7060,1164,2644,151122,9195
7081,993,2513,154178,9270
7102,923,2491,156088,9307
7123,1265,2451,157852,9363
7144,1320,2381,159293,9427
7165,1314,2327,161564,9454
7186,1277,2318,162307,9476
7207,1051,2388,163585,9510
7228,879,2374,165682,9581
7249,1047,2316,167556,9656
7270,1192,2234,169281,9714
7291,1364,2172,171260,9768
7312,1383,2139,173085,9812
7333,1382,2131,173828,9837
7354,1273,2185,175556,9869
7375,977,2153,176359,9914
7396,930,2120,178414,9951
7417,1345,2081,180721,10022
7438,1538,2061,182876,10049
7459,1488,2060,185756,10085
7480,1323,2082,187688,10126
7501,1391,2144,189406,10147
7522,968,2150,190855,10182
7543,1025,2078,193610,10213
7564,1565,2071,195486,10235
7585,1821,2085,197244,10281
