,newinfections,hospitalized,recovered,deceased
5,0,0,0,0
26,0,0,0,0
47,0,0,0,0
68,0,0,0,0
89,0,0,0,0
110,0,0,0,0
131,6,0,0,0
152,3,0,0,0
173,4,1,0,0
194,5,3,0,0
215,3,4,0,0
236,10,4,3,0
257,11,8,3,0
278,15,8,3,1
299,36,19,3,1
320,23,33,3,3
341,10,21,10,6
362,41,33,11,8
383,90,67,11,10
404,44,78,17,13
425,46,110,17,14
446,39,115,18,22
467,8,125,17,30
488,68,155,15,31
509,137,163,41,36
530,57,175,63,38
551,134,189,82,42
572,84,210,89,47
593,56,226,105,54
614,62,244,80,64
635,147,252,158,70
656,84,266,197,72
677,94,279,214,76
698,119,282,229,87
719,44,296,241,98
740,21,289,285,107
761,92,275,320,113
782,92,266,357,122
803,114,259,376,129
824,80,262,419,136
845,107,233,505,145
866,62,235,531,154
887,55,235,549,158
908,50,229,610,164
929,65,203,634,169
950,81,204,738,171
971,50,200,772,179
992,44,200,826,185
1013,38,188,910,195
1034,51,189,973,202
1055,38,194,1415,206
1076,24,187,938,212
1097,72,185,1069,217
1118,59,171,1027,220
1139,56,168,1106,222
1160,14,165,1183,225
1181,30,162,1346,239
1202,17,160,1229,241
1223,25,154,1263,246
1244,41,156,1467,256
1265,24,152,1304,258
1286,21,137,1556,263
1307,14,142,1405,264
1328,60,143,1448,271
1349,18,149,1478,278
1370,15,146,1498,285
1391,15,120,1566,289
1412,16,137,1632,294
1433,18,136,1655,295
1454,13,137,1688,297
1475,4,134,1727,299
1496,9,124,1798,303
1517,9,118,1826,306
1538,13,111,1872,308
1559,9,107,1897,308
1580,8,104,1947,308
1601,6,101,1969,310
1622,8,99,1996,312
1643,10,98,2034,313
1664,8,94,2061,316
1685,5,151,2074,317
1706,14,83,2116,318
1727,8,82,2184,319
1748,8,83,2218,319
1769,7,84,2257,320
1790,5,78,2283,320
1811,6,78,2291,322
1832,6,74,2314,323
1853,12,70,2417,325
1874,6,64,2447,327
1895,3,63,2495,329
1916,4,63,2525,329
1937,11,60,2547,329
1958,4,52,2568,331
1979,7,52,2593,333
2000,5,47,2611,333
2021,4,46,2633,333
2042,2,42,2662,333
2063,1,42,2673,335
2084,2,42,2696,336
2105,0,41,2707,336
2126,3,36,2730,336
2147,1,27,2762,338
2168,3,26,2784,338
2189,0,26,2793,339
2210,1,25,2800,340
2231,0,23,2816,340
2252,2,26,2832,341
2273,1,22,2833,342
2294,3,18,2840,342
2315,6,15,2848,343
2336,0,16,2850,343
2357,0,16,2854,343
2378,1,14,2855,343
2399,2,16,2857,343
2420,2,16,2861,343
