,newinfections,hospitalized,recovered,deceased
7,0,0,0,0
28,1,1,0,0
49,10,6,0,0
70,8,9,0,0
91,0,9,0,0
112,23,5,4,0
133,-17,13,4,0
154,-3,13,4,0
175,2,14,4,1
196,2,13,4,1
217,2,14,4,3
238,4,17,5,3
259,19,32,5,4
280,27,50,5,6
301,31,77,5,7
322,32,86,5,8
343,53,108,5,8
364,80,136,20,11
385,71,172,24,17
406,118,275,52,27
427,96,319,33,33
448,108,328,42,50
469,111,384,57,60
490,109,501,70,73
511,172,603,85,91
532,162,694,101,119
553,215,727,125,152
574,229,868,143,171
595,259,894,159,212
616,192,950,193,231
637,189,1074,225,254
658,262,1152,260,280
679,129,1180,305,331
700,126,1198,378,358
721,254,1243,420,377
742,141,1317,437,397
763,199,1332,480,428
784,244,1293,555,460
805,122,1292,634,488
826,183,1320,700,519
847,238,1290,767,542
868,246,1291,800,556
889,100,1303,837,595
910,208,1246,925,620
931,149,1262,1007,654
952,114,1257,1085,682
973,171,1227,1181,709
994,185,1149,1309,734
1015,118,1176,1412,749
1036,102,1226,1471,760
1057,212,1100,1549,793
1078,128,1079,1665,807
1099,103,1060,1774,828
1120,149,1002,1863,866
1141,113,1006,1992,897
1162,227,986,2110,928
1183,141,980,2216,957
1204,95,1008,2311,990
1225,154,952,2420,1022
1246,131,874,2536,1047
1267,124,847,2660,1076
1288,128,842,2775,1093
1309,187,830,2894,1114
1330,154,837,2934,1128
1351,130,799,3060,1141
1372,117,767,3161,1152
1393,104,745,3275,1167
1414,133,734,3424,1184
1435,186,715,3519,1195
1456,47,695,3599,1209
1477,53,678,3683,1221
1498,63,651,3816,1232
1519,76,607,4002,1243
1540,94,582,4143,1254
1561,78,563,4282,1265
1582,15,543,4480,1276
1603,50,522,4607,1281
1624,44,522,4695,1293
1645,31,482,4783,1301
1666,67,465,4898,1314
1687,65,443,5006,1329
1708,65,416,5121,1336
1729,51,395,5232,1346
1750,48,384,5348,1355
1771,32,383,5485,1367
1792,66,360,5617,1376
1813,32,332,5725,1386
1834,55,305,5872,1397
1855,45,288,6074,1407
1876,38,267,6279,1414
1897,53,265,6437,1419
1918,17,254,6516,1425
1939,53,242,6681,1431
1960,39,219,6882,1438
1981,16,211,7015,1445
2002,14,205,7173,1452
2023,32,195,7411,1459
2044,12,203,7529,1465
2065,56,198,7641,1467
2086,15,182,7720,1468
2107,17,175,7764,1473
2128,21,155,7899,1479
2149,14,148,8056,1486
2170,13,140,8062,1492
2191,13,132,8070,1499
2212,14,130,8073,1505
2233,8,124,8076,1509
2254,20,113,8096,1513
2275,10,110,8100,1514
2296,7,106,8106,1516
2317,4,94,8113,1518
2338,4,88,8115,1521
2359,8,89,8116,1525
2380,4,78,8120,1529
2401,5,75,8120,1532
2422,7,72,8121,1536
2443,7,69,8121,1540
2464,10,64,8125,1545
2485,7,61,8130,1549
2506,8,59,8133,1552
2527,4,62,8131,1553
2548,1,60,8124,1555
2569,14,57,8139,1556
2590,4,57,8138,1556
2611,5,52,8138,1557
