,newinfections,hospitalized,recovered,deceased
13,3,2,0,0
34,0,2,0,0
55,0,2,0,0
76,-1,2,0,0
97,9,7,0,0
118,0,7,0,0
139,38,13,0,0
160,2,14,0,0
181,5,16,0,0
202,26,39,0,0
223,26,60,0,2
244,35,87,0,4
265,64,148,0,5
286,153,290,0,5
307,-10,272,0,13
328,103,372,0,17
349,48,394,0,21
370,79,465,0,26
391,260,691,0,46
412,33,688,0,59
433,238,897,0,81
454,405,1231,0,111
475,381,1584,0,133
496,444,2007,0,154
517,591,2536,3,175
538,529,1821,8,209
559,291,2277,8,238
580,668,2426,10,283
601,441,2537,17,315
622,654,2764,17,374
643,509,2925,19,449
664,510,3041,135,449
685,558,3283,176,569
706,579,3533,203,617
727,535,3428,254,684
748,506,3437,308,749
769,589,3626,365,854
790,494,3599,439,886
811,558,3794,571,983
832,543,3752,723,1043
853,813,3891,888,1128
874,653,3916,1017,1168
895,562,3922,1128,1251
916,419,3985,1320,1319
937,540,3916,1516,1378
958,639,3926,1732,1454
979,490,3891,1904,1532
1000,996,3819,2205,1633
1021,652,3810,2426,1729
1042,474,3723,2543,1826
1063,556,3762,2708,1927
1084,539,3704,3019,2015
1105,879,3764,3231,2094
1126,695,3599,3634,2171
1147,661,3594,3989,2252
1168,593,3506,4256,2331
1189,292,3600,4383,2409
1210,606,3409,4659,2485
1231,784,3486,5058,2559
1252,401,3300,5358,2630
1273,682,3175,5732,2699
1294,604,3175,6157,2767
1315,394,3080,6478,2823
1336,278,3044,6712,2878
1357,352,2903,7008,2936
1378,411,2839,7337,3003
1399,428,2820,7730,3066
1420,395,2684,8025,3097
1441,495,2728,8334,3126
1462,251,2665,8640,3152
1483,192,2552,8874,3186
1504,152,2462,9235,3216
1525,165,2297,9834,3247
1546,196,2297,10384,3282
1567,233,2153,10956,3305
1588,181,2153,11284,3331
1609,116,2161,11648,3367
1630,111,2156,12038,3400
1651,113,2036,12277,3428
1672,169,1980,13107,3460
1693,151,1891,13825,3493
1714,137,1701,14676,3557
1735,137,1662,15187,3594
1756,64,1721,15696,3612
1777,72,1688,16113,3632
1798,108,1675,16413,3679
1819,158,1609,17016,3718
1840,105,1562,17538,3742
1861,87,1493,17868,3757
1882,60,1367,18341,3771
1903,43,1358,18694,3783
1924,48,1299,18934,3798
1945,86,1232,19561,3812
1966,73,1186,20095,3828
1987,58,1122,20535,3838
2008,56,1090,20992,3851
2029,82,1048,21435,3858
2050,54,1031,21609,3867
2071,21,958,21720,3876
2092,57,895,22003,3884
2113,19,885,22150,3898
2134,24,851,22292,3910
2155,49,783,22511,3927
2176,38,721,22744,3934
2197,10,697,22952,3941
2218,14,669,23049,3954
2239,21,638,23258,3961
2260,26,599,23568,3976
2281,42,577,23787,3988
2302,31,557,24096,3996
