,newinfections,hospitalized,recovered,deceased
14,0,0,0,0
35,0,0,0,0
56,0,0,0,0
77,1,1,0,0
98,2,1,0,0
119,0,1,0,0
140,0,1,0,0
161,1,2,0,0
182,2,2,0,0
203,3,4,1,1
224,5,6,1,1
245,3,6,1,1
266,9,11,1,2
287,14,20,1,3
308,10,26,1,3
329,9,34,1,3
350,18,42,1,5
371,27,60,1,5
392,25,79,3,5
413,37,97,2,8
434,64,122,2,16
455,0,122,2,16
476,110,169,2,18
497,43,186,2,19
518,95,204,4,25
539,103,222,4,26
560,94,242,4,29
581,111,289,7,31
602,120,330,7,37
623,99,374,21,44
644,88,413,22,48
665,89,556,22,65
686,152,612,29,69
707,124,661,29,71
728,91,658,31,86
749,163,696,36,91
770,91,714,39,110
791,143,744,61,129
812,131,763,69,144
833,105,771,69,164
854,58,780,94,173
875,77,733,113,182
896,127,722,134,195
917,70,708,168,209
938,120,729,177,219
959,82,716,190,225
980,93,711,235,238
1001,95,700,249,253
1022,85,680,277,260
1043,76,671,286,267
1064,53,673,288,278
1085,66,665,323,288
1106,74,661,334,299
1127,69,652,364,307
1148,82,654,401,314
1169,120,650,427,316
1190,38,650,431,326
1211,55,634,459,351
1232,108,624,494,362
1253,109,591,531,372
1274,42,547,565,383
1295,31,517,602,391
1316,36,512,612,399
1337,10,500,641,405
1358,22,499,654,407
1379,49,496,692,410
1400,43,481,708,415
1421,27,467,731,421
1442,34,455,757,422
1463,11,450,765,424
1484,9,436,779,429
1505,17,423,798,433
1526,26,401,855,438
1547,49,390,1004,441
1568,11,382,1080,443
1589,30,377,1114,443
1610,27,377,1196,448
1631,14,372,1332,451
1652,10,365,1460,456
1673,11,337,1566,460
1694,9,320,1643,461
1715,9,308,1724,461
1736,8,294,1807,463
1757,5,284,1892,470
1778,7,276,1920,471
1799,10,269,1982,473
1820,11,263,2027,478
1841,6,256,2096,478
1862,27,250,2120,482
1883,8,232,2157,486
1904,10,221,2178,487
1925,9,205,2298,491
1946,2,189,2436,494
1967,10,187,2471,495
1988,2,180,2590,496
2009,1,170,2699,500
2030,8,162,2768,500
2051,4,154,2813,504
2072,4,151,2837,506
2093,0,145,2939,508
2114,1,141,2952,511
2135,4,140,3022,514
2156,4,116,3140,521
2177,4,113,3231,522
2198,0,100,3253,525
2219,1,98,3289,525
2240,0,81,3373,526
2261,0,75,3426,529
2282,1,68,3516,530
2303,2,63,3544,532
2324,0,62,3561,532
2345,0,59,3565,532
2366,1,58,3572,534
2387,0,50,3628,535
2408,0,48,3656,536
2429,3,35,3675,538
2450,1,32,3727,538
2471,5,33,3765,540
2492,2,33,3765,540
2513,0,33,3769,540
2534,2,32,3797,542
2555,0,29,3809,543
2576,1,27,3814,543
2597,1,27,3835,543
2618,0,27,3841,543
2639,0,27,3842,543
