,newinfections,hospitalized,recovered,deceased
15,0,0,0,0
36,0,0,0,0
57,0,0,0,0
78,0,0,0,0
99,0,0,0,0
120,0,0,0,0
141,0,0,0,0
162,0,0,0,0
183,1,1,0,0
204,1,1,0,0
225,0,2,0,0
246,3,2,0,0
267,0,2,0,0
288,6,5,0,0
309,8,8,0,0
330,1,9,0,0
351,17,10,0,0
372,2,12,0,0
393,4,12,0,0
414,4,14,0,0
435,30,16,0,2
456,30,39,0,2
477,10,40,0,2
498,17,49,0,2
519,72,52,0,2
540,87,71,3,2
561,37,81,5,4
582,9,83,5,7
603,20,94,5,11
624,62,99,11,15
645,21,101,12,18
666,52,112,13,19
687,36,112,13,21
708,94,117,29,26
729,14,128,29,27
750,44,137,32,28
771,40,141,34,31
792,23,146,36,34
813,49,141,36,40
834,31,146,40,41
855,49,147,44,41
876,33,151,49,43
897,15,149,56,47
918,13,148,62,52
939,40,143,76,59
960,51,131,86,64
981,37,133,118,69
1002,28,137,130,73
1023,22,135,137,73
1044,15,134,139,75
1065,10,131,158,80
1086,23,133,208,83
1107,3,133,214,85
1128,14,136,220,86
1149,20,135,231,86
1170,17,139,265,86
1191,13,136,288,86
1212,8,133,306,93
1233,11,117,318,96
1254,7,110,339,98
1275,3,114,351,102
1296,14,114,374,103
1317,9,115,388,109
1338,3,116,398,109
1359,2,114,404,109
1380,5,104,413,116
1401,5,103,435,116
1422,18,96,452,117
1443,2,99,466,119
1464,4,102,511,119
1485,-2,100,545,119
1506,1,103,557,119
1527,1,102,577,119
1548,5,99,622,119
1569,6,100,658,119
1590,4,98,665,119
1611,6,93,705,120
1632,3,94,712,120
1653,1,88,718,120
1674,1,88,734,120
1695,0,86,755,125
1716,3,85,762,125
1737,4,85,812,125
1758,1,86,823,125
1779,0,82,847,126
1800,1,80,887,126
1821,1,78,898,126
1842,1,76,911,127
1863,0,64,922,128
1884,0,64,940,129
1905,0,54,982,129
1926,-2,52,994,129
1947,0,43,1000,130
1968,1,43,1010,130
1989,0,40,1025,130
2010,1,39,1036,130
2031,0,36,1040,130
2052,0,35,1041,130
2073,1,24,1065,131
2094,0,22,1071,131
2115,0,13,1080,131
2136,0,13,1118,131
2157,2,11,1161,131
2178,3,11,1171,131
2199,0,11,1172,131
2220,0,10,1175,131
2241,-1,10,1176,131
2262,0,10,1180,131
2283,1,11,1188,131
2304,1,11,1190,131
2325,0,12,1197,132
2346,0,12,1198,132
2367,0,12,1198,132
2388,2,13,1200,132
2409,1,11,1203,132
2430,1,10,1204,132
2451,1,10,1206,132
2472,1,9,1209,132
2493,0,9,1209,132
2514,0,9,1209,132
2535,0,7,1213,132
2556,1,7,1214,132
2577,1,6,1216,132
2598,0,5,1218,132
2619,1,6,1218,132
2640,1,6,1218,132
2661,0,6,1218,132
2682,2,6,1219,133
2703,0,5,1222,133
2724,2,7,1222,133
2745,1,6,1222,133
2766,0,6,1223,133
2787,1,4,1225,133
2808,1,3,1227,134
2829,0,5,1224,134
2850,0,3,1227,134
2871,0,3,1227,134
2892,1,3,1228,134
2913,0,3,1229,134
2934,0,3,1229,134
2955,1,3,1229,134
2976,1,4,1230,134
2997,2,4,1230,134
3018,1,4,1232,134
3039,0,5,1233,134
3060,1,7,1233,134
3081,1,7,1233,134
3102,0,7,1233,134
3123,0,7,1233,134
3144,1,7,1234,134
3165,2,7,1234,134
3186,3,7,1235,134
3207,3,6,1235,134
3228,0,6,1235,134
3249,0,5,1236,135
3270,6,5,1237,134
3291,2,3,1237,134
3312,0,3,1237,134
3333,10,3,1237,134
3354,6,4,1237,134
3375,4,3,1237,134
3396,2,3,1238,134
