,newinfections,hospitalized,recovered,deceased
16,0,0,0,0
37,3,1,0,0
58,0,1,0,0
79,1,1,2,0
100,0,1,2,0
121,0,1,2,0
142,5,1,2,0
163,-2,2,2,0
184,0,2,2,0
205,11,5,2,0
226,0,5,2,0
247,6,7,2,0
268,11,8,2,0
289,18,18,2,0
310,1,19,2,0
331,8,19,2,0
352,21,24,2,0
373,32,33,2,2
394,15,44,2,2
415,26,53,4,2
436,32,71,7,2
457,25,95,8,2
478,24,114,8,3
499,45,129,12,3
520,58,179,15,4
541,68,210,25,4
562,82,254,26,6
583,140,275,26,8
604,91,310,27,13
625,125,310,27,20
646,148,339,33,25
667,170,414,36,33
688,86,500,53,39
709,109,512,60,57
730,101,522,65,65
751,95,559,71,76
772,92,575,74,81
793,71,568,86,88
814,73,576,92,93
835,68,608,94,101
856,73,627,95,111
877,62,632,104,116
898,52,637,108,123
919,51,635,113,125
940,62,628,133,133
961,73,629,152,138
982,70,630,187,148
1003,62,620,209,154
1024,52,605,223,163
1045,42,605,237,171
1066,43,605,255,175
1087,34,590,273,181
1108,44,573,284,187
1129,46,567,296,190
1150,47,568,305,196
1171,45,563,315,200
1192,42,565,346,203
1213,76,551,370,206
1234,48,535,388,208
1255,43,510,412,213
1276,55,493,443,218
1297,39,485,524,224
1318,35,478,720,228
1339,30,475,731,231
1360,35,462,745,232
1381,20,449,763,232
1402,26,441,774,235
1423,28,429,786,237
1444,19,426,787,240
1465,27,412,795,242
1486,15,403,809,244
1507,12,393,818,247
1528,14,384,830,250
1549,7,370,910,251
1570,13,329,921,253
1591,12,294,977,256
1612,14,289,1002,256
1633,12,287,1020,257
1654,4,249,1171,261
1675,11,225,1203,262
1696,12,215,1249,263
1717,8,209,1351,263
1738,8,171,1458,265
1759,6,158,1566,267
1780,7,150,1589,267
1801,8,137,1611,268
1822,8,129,1620,268
1843,6,118,1627,268
1864,4,113,1634,268
1885,0,104,1640,269
1906,2,100,1701,269
1927,4,98,1724,270
1948,3,93,1729,271
1969,5,83,1845,272
1990,3,80,2021,272
2011,2,74,2031,272
2032,2,74,2170,273
2053,1,72,2183,274
2074,0,73,2202,274
2095,4,69,2206,275
2116,0,67,2292,275
2137,0,63,2292,276
2158,1,60,2300,276
2179,2,54,2308,276
2200,1,49,2312,277
2221,1,47,2321,278
2242,2,45,2323,278
2263,1,46,2324,278
2284,0,42,2327,279
2305,0,37,2335,279
2326,1,36,2335,279
2347,1,35,2341,279
2368,1,34,2373,280
2389,2,36,2374,280
2410,2,28,2377,280
2431,2,27,2547,280
2452,3,26,2640,280
2473,0,26,2650,280
2494,2,26,2651,280
2515,0,26,2651,280
2536,1,22,2661,280
2557,1,22,2662,280
2578,2,22,2666,280
2599,0,22,2666,281
2620,1,24,2666,281
2641,0,25,2666,281
2662,1,24,2670,281
2683,2,22,2670,282
2704,1,21,2673,282
2725,9,20,2674,282
2746,1,18,2674,282
2767,3,17,2674,282
2788,0,15,2674,282
2809,1,16,2674,282
2830,1,12,2674,282
2851,1,7,2687,283
2872,1,6,2687,283
2893,0,6,2691,283
2914,1,6,2693,283
2935,0,5,2693,283
2956,1,6,2694,283
2977,15,4,2695,283
2998,0,4,2695,283
3019,17,6,2695,283
3040,4,9,2695,283
3061,4,14,2695,283
3082,2,12,2697,283
3103,2,12,2704,283
3124,2,12,2706,283
3145,7,13,2709,283
3166,5,13,2712,283
3187,8,13,2713,283
3208,13,17,2715,283
3229,14,22,2715,283
3250,3,26,2719,283
3271,19,31,2726,283
3292,18,31,2726,283
3313,39,35,2730,283
3334,16,40,2730,283
3355,10,39,2734,283
3376,7,39,2737,283
3397,3,39,2737,283
3418,10,37,2741,284
3439,21,38,2741,284
3460,30,41,2743,284
3481,27,41,2743,284
3502,28,41,2743,284
3523,29,44,2749,284
3544,32,51,2751,284
3565,89,50,2752,284
3586,29,49,2757,284
3607,42,48,2757,284
3628,36,52,2766,284
3649,46,52,2766,284
3670,39,56,2769,285
3691,14,60,2776,286
3712,13,60,2785,286
3733,45,61,2786,286
3754,37,49,2799,286
3775,44,53,2805,286
3796,48,53,2807,286
3817,35,60,2813,286
3838,65,63,2834,286
3859,24,63,2858,286
3880,33,69,2858,286
3901,50,72,2869,286
3922,54,78,2884,286
3943,29,80,2887,286
3964,34,78,2891,286
3985,26,80,2906,286
4006,33,81,2911,287
4027,83,88,2919,287
4048,54,93,2947,288
4069,78,98,2993,288
4090,114,100,3047,289
4111,37,99,3093,289
4132,49,114,3097,289
4153,84,117,3106,289
4174,77,120,3110,289
4195,106,126,3140,289
4216,104,129,3141,289
4237,44,134,3144,289
4258,61,137,3158,290
4279,65,152,3172,292
4300,77,158,3172,292
4321,90,171,3190,295
4342,96,187,3231,295
4363,179,194,3295,296
4384,98,204,3318,296
4405,116,207,3350,296
4426,75,217,3390,299
4447,108,239,3455,300
4468,89,246,3519,303
4489,125,253,3594,304
4510,107,248,3630,306
4531,110,268,3687,306
4552,107,282,3716,308
4573,102,309,3733,309
4594,163,309,3851,310
4615,170,320,3941,311
4636,156,327,4026,312
4657,140,324,4052,314
4678,182,342,4108,317
4699,85,353,4115,319
4720,128,389,4130,321
4741,198,396,4237,322
4762,213,405,4345,326
4783,259,409,4454,329
4804,233,411,4478,333
4825,285,422,4519,335
4846,297,426,4557,336
4867,298,446,4571,339
4888,334,470,4708,341
4909,366,496,4762,343
4930,399,520,4854,350
4951,578,529,4975,360
4972,475,540,5101,362
4993,548,563,5137,365
5014,362,593,5267,368
5035,574,619,5353,378
5056,562,648,5551,389
5077,796,677,5649,397
5098,730,682,5772,408
5119,886,696,5896,417
5140,695,737,5914,428
5161,568,775,6081,439
5182,860,830,6142,449
5203,708,898,6386,459
5224,789,954,6605,472
5245,984,1012,6758,484
5266,952,1084,6814,502
5287,1095,1131,7011,518
5308,1024,1167,7277,536
5329,1048,1222,7569,550
5350,1155,1253,7893,569
5371,1322,1304,8282,594
5392,1423,1316,8684,628
5413,1363,1330,8788,663
5434,1083,1427,9128,676
5455,1023,1490,9652,703
5476,1201,1543,9928,735
5497,1487,1578,10656,762
5518,1692,1596,10958,802
5539,1707,1660,11258,837
5560,1729,1677,11444,860
5581,1422,1693,11829,896
5602,1461,1725,12296,932
5623,1698,1732,12964,971
5644,1837,1768,13411,1015
5665,1871,1772,13763,1055
5686,1634,1779,14179,1098
5707,1838,1810,14489,1141
5728,1258,1838,14781,1186
5749,1249,1847,15238,1227
5770,1306,1844,16210,1275
5791,1317,1824,17359,1322
5812,1768,1798,18890,1371
5833,1566,1789,19834,1418
5854,1189,1766,20181,1461
5875,1024,1763,20558,1506
5896,1138,1773,21507,1555
5917,1399,1737,22766,1589
5938,1483,1714,25221,1616
5959,1294,1686,26432,1650
