,newinfections,hospitalized,recovered,deceased
17,0,0,0,0
38,2,2,0,0
59,0,2,0,0
80,0,2,0,0
101,6,5,1,0
122,3,7,1,0
143,2,7,1,0
164,0,7,1,0
185,6,10,1,0
206,19,17,1,0
227,23,29,1,0
248,18,40,1,0
269,34,61,1,0
290,53,98,1,0
311,42,116,1,1
332,56,131,3,1
353,56,141,5,1
374,44,159,7,5
395,106,211,10,5
416,160,247,10,6
437,151,282,10,8
458,85,282,11,14
479,187,472,12,17
500,277,587,17,22
521,152,679,22,38
542,311,790,33,47
563,219,866,35,72
584,265,921,42,91
605,184,1076,51,109
626,238,1162,51,129
647,273,1250,54,142
668,254,1296,95,158
689,224,1327,103,177
710,367,1370,108,198
731,305,1386,121,215
752,290,1395,131,231
773,196,1413,138,244
794,259,1417,182,253
815,406,1430,216,268
836,226,1437,300,290
857,172,1415,310,307
878,176,1387,337,325
899,154,1395,350,350
920,172,1350,377,369
941,206,1326,430,392
962,173,1294,441,408
983,175,1267,451,454
1004,231,1234,499,467
1025,277,1221,578,495
1046,155,1217,615,518
1067,137,1227,637,538
1088,139,1193,693,556
1109,277,1153,745,585
1130,167,1105,925,602
1151,127,1081,1149,618
1172,135,1044,1239,637
1193,135,1032,1272,667
1214,96,1004,1295,686
1235,97,994,1828,705
1256,80,959,1886,723
1277,97,897,2002,742
1298,138,853,2109,760
1319,132,835,2300,778
1340,32,825,2401,795
1361,52,763,2524,811
1382,61,715,2802,827
1403,60,672,2926,842
1424,93,644,3218,854
1445,80,637,3297,863
1466,38,625,3363,872
1487,38,619,3441,881
1508,30,595,3552,889
1529,26,554,3670,899
1550,26,528,4052,915
1571,38,483,4199,930
1592,24,443,4360,937
1613,29,428,4685,942
1634,13,424,4764,950
1655,15,379,5002,959
1676,27,356,5302,964
1697,30,337,5498,973
1718,24,305,5739,976
1739,30,300,5991,979
1760,35,281,6162,984
1781,13,263,6399,989
1802,7,246,6653,992
1823,14,223,6867,998
1844,18,210,7119,1004
1865,35,204,7240,1009
1886,12,197,7270,1011
1907,15,186,7349,1013
1928,5,189,7416,1015
1949,3,179,7527,1021
1970,12,163,7595,1027
1991,4,153,7677,1029
2012,2,142,7802,1031
2033,12,133,7897,1037
2054,4,125,7952,1041
2075,3,110,7977,1048
2096,10,110,8053,1053
2117,4,101,8093,1055
2138,1,89,8180,1059
2159,7,78,8209,1063
2180,5,71,8281,1068
2201,1,72,8315,1070
2222,9,70,8349,1074
2243,1,63,8440,1077
2264,3,55,8531,1078
2285,10,57,8558,1079
2306,7,50,8575,1080
2327,7,49,8588,1082
2348,8,50,8596,1085
2369,8,47,8611,1088
2390,3,48,8637,1091
2411,2,47,8657,1092
2432,2,36,8664,1093
2453,10,30,8687,1095
2474,2,31,8698,1095
2495,3,28,8750,1095
2516,1,27,8752,1099
2537,6,26,8780,1100
2558,5,31,8791,1101
2579,2,30,8799,1101
2600,2,27,8809,1103
2621,12,20,8817,1103
2642,5,22,8817,1103
2663,5,20,8817,1104
2684,2,23,8817,1104
2705,4,18,8825,1106
2726,4,14,8825,1109
2747,9,16,8832,1112
2768,9,13,8838,1114
2789,9,14,8841,1114
2810,2,14,8841,1114
2831,19,13,8851,1116
2852,7,14,8854,1118
2873,1,13,8857,1120
2894,2,11,8865,1121
2915,5,10,8869,1122
2936,1,11,8869,1122
2957,4,10,8869,1122
2978,4,10,8894,1125
2999,8,12,8898,1127
3020,12,14,8908,1127
3041,6,13,8909,1129
3062,2,13,8915,1129
3083,16,12,8920,1129
3104,1,10,8921,1130
3125,9,12,8927,1131
3146,6,13,8927,1131
3167,4,15,8935,1131
3188,11,14,8939,1131
3209,10,13,8941,1131
3230,15,13,8944,1131
3251,8,13,8944,1131
3272,3,13,8944,1134
3293,17,15,8944,1134
3314,11,17,8946,1134
3335,14,17,8962,1134
3356,6,16,8962,1135
3377,9,15,8966,1135
3398,10,17,8974,1136
3419,11,18,8977,1137
3440,11,18,8978,1137
3461,17,20,8985,1137
3482,13,18,8988,1137
3503,23,15,8989,1137
3524,61,15,8997,1137
3545,8,17,8997,1137
3566,22,19,9002,1137
3587,33,18,9007,1137
3608,28,16,9008,1137
3629,26,15,9020,1137
3650,38,13,9028,1138
3671,34,14,9028,1138
3692,21,15,9028,1139
3713,31,20,9028,1139
3734,40,25,9040,1139
3755,59,29,9044,1139
3776,79,33,9046,1139
3797,53,36,9049,1139
3818,59,42,9056,1139
3839,44,44,9065,1139
3860,34,46,9075,1139
3881,161,49,9083,1140
3902,99,48,9100,1140
3923,82,51,9105,1141
3944,92,49,9125,1141
3965,98,53,9141,1141
3986,73,60,9143,1141
4007,40,62,9175,1142
4028,69,66,9189,1142
4049,113,70,9206,1143
4070,99,75,9219,1143
4091,113,77,9260,1143
4112,122,85,9277,1143
4133,85,86,9285,1144
4154,59,83,9334,1145
4175,88,80,9358,1147
4196,92,87,9377,1147
4217,147,89,9425,1148
4238,138,92,9473,1148
4259,91,97,9506,1149
4280,59,100,9523,1150
4301,41,110,9536,1151
4322,90,108,9565,1151
4343,119,109,9621,1152
4364,99,116,9670,1152
4385,143,109,9686,1152
4406,147,109,9704,1152
4427,84,117,9726,1152
4448,74,119,9760,1152
4469,90,121,9853,1153
4490,156,119,9907,1153
4511,139,111,9938,1156
4532,110,108,9981,1157
4553,101,105,10002,1157
4574,85,115,10098,1160
4595,56,117,10175,1164
4616,120,119,10261,1164
4637,144,128,10338,1165
4658,223,127,10398,1165
4679,197,123,10435,1166
4700,188,125,10451,1166
4721,185,144,10531,1168
4742,209,145,10606,1168
4763,300,151,10673,1170
4784,339,159,10693,1170
4805,483,170,10801,1173
4826,548,190,10830,1173
4847,517,217,10844,1174
4868,466,245,10942,1180
4889,480,262,11008,1181
4910,575,275,11071,1183
4931,581,322,11171,1185
4952,755,359,11315,1187
