,newinfections,hospitalized,recovered,deceased
18,0,0,0,0
39,0,0,0,0
60,0,0,0,0
81,0,0,0,0
102,0,0,0,0
123,0,0,0,0
144,2,0,0,0
165,0,0,0,0
186,6,2,0,0
207,1,2,0,0
228,0,2,0,0
249,7,4,0,0
270,8,4,0,0
291,2,4,0,0
312,2,6,0,0
333,9,10,0,0
354,9,12,2,0
375,18,16,2,0
396,12,21,2,1
417,31,32,3,1
438,36,38,3,1
459,21,45,4,1
480,33,57,4,1
501,50,75,4,2
522,87,90,4,2
543,61,99,4,7
564,67,121,5,10
585,59,132,5,16
606,56,148,5,16
627,71,148,5,19
648,62,167,5,19
669,92,190,12,20
690,82,195,39,21
711,85,203,43,28
732,54,212,95,31
753,28,220,184,33
774,27,219,190,37
795,17,218,194,37
816,33,218,205,38
837,51,213,220,39
858,31,211,242,41
879,29,204,298,43
900,14,205,337,44
921,10,198,368,49
942,26,196,416,50
963,9,192,455,51
984,4,185,498,52
1005,7,176,534,52
1026,10,168,580,52
1047,1,165,643,52
1068,1,164,646,53
1089,1,159,686,54
1110,7,149,738,55
1131,8,142,786,57
1152,7,141,856,57
1173,4,138,854,58
1194,1,142,867,58
1215,4,129,886,60
1236,4,117,925,61
1257,5,119,946,61
1278,1,113,979,62
1299,3,113,1006,63
1320,2,108,1008,64
1341,2,106,1018,65
1362,9,97,1039,65
1383,12,93,1064,66
1404,1,84,1092,67
1425,1,73,1121,68
1446,1,73,1130,68
1467,0,71,1143,68
1488,0,69,1143,70
1509,6,67,1154,70
1530,4,64,1163,70
1551,1,56,1194,70
1572,1,53,1216,71
1593,1,51,1225,71
1614,4,48,1227,71
1635,1,44,1233,71
1656,7,45,1239,71
1677,0,40,1241,72
1698,1,27,1255,73
1719,2,27,1259,73
1740,0,27,1268,73
1761,2,27,1273,73
1782,0,26,1274,73
1803,3,27,1287,74
1824,0,27,1287,74
1845,2,19,1294,74
1866,0,18,1296,74
1887,1,17,1300,74
1908,0,17,1302,75
1929,0,17,1309,75
1950,1,14,1314,75
1971,0,15,1324,75
1992,0,16,1323,75
2013,0,17,1324,76
2034,0,17,1324,76
2055,0,17,1324,76
2076,0,17,1324,76
2097,0,17,1324,76
2118,0,17,1324,76
2139,0,17,1324,76
2160,0,14,1326,76
2181,0,13,1327,76
2202,1,12,1327,76
2223,0,12,1327,76
2244,3,14,1330,76
2265,1,15,1332,76
2286,0,13,1334,76
2307,0,11,1336,76
2328,0,11,1339,76
2349,0,10,1339,77
2370,0,10,1341,77
2391,1,9,1342,77
2412,0,9,1342,77
2433,0,7,1344,77
2454,1,7,1344,77
2475,0,7,1343,78
2496,0,5,1345,78
2517,0,5,1347,78
2538,0,5,1348,78
2559,1,4,1349,79
2580,0,4,1350,79
