,newinfections,hospitalized,recovered,deceased
1,0,0,0,0
43,0,0,0,0
64,0,0,0,0
85,0,0,0,0
106,0,0,0,0
127,0,0,0,0
148,0,0,0,0
169,1,0,0,0
190,0,0,0,0
211,0,0,0,0
232,2,1,0,0
253,0,1,0,0
274,1,2,0,0
295,1,2,0,0
316,2,2,0,0
337,1,2,0,0
358,0,2,0,0
379,2,2,0,0
400,0,2,0,0
421,1,2,0,0
442,1,3,0,0
463,8,7,0,0
484,7,11,0,0
505,10,13,0,0
526,15,13,0,0
547,14,19,0,0
568,15,23,0,0
589,9,27,0,1
610,2,26,0,1
631,21,34,0,1
652,21,38,0,1
673,17,37,1,3
694,31,45,1,3
715,20,50,1,4
736,12,54,1,5
757,12,54,3,7
778,11,54,3,9
799,9,57,3,10
820,15,60,3,11
841,3,63,9,11
862,14,64,11,13
883,9,64,12,13
904,4,64,12,14
925,6,65,13,14
946,6,67,13,15
967,5,74,14,15
988,4,72,14,17
1009,3,73,20,18
1030,4,76,31,18
1051,0,74,35,19
1072,1,72,38,21
1093,16,69,41,22
1114,1,68,49,22
1135,2,68,54,23
1156,3,67,71,24
1177,0,66,76,24
1198,8,71,81,24
1219,4,72,98,24
1240,2,68,103,24
1261,4,66,107,24
1282,1,65,118,25
1303,5,64,122,25
1324,0,64,124,25
1345,0,63,136,25
1366,0,55,147,25
1387,1,53,150,25
1408,11,53,160,25
1429,2,52,164,25
1450,6,51,167,25
1471,0,53,188,25
1492,10,53,194,25
1513,3,50,202,25
1534,-16,50,202,26
1555,-1,50,204,26
1576,0,46,210,27
1597,3,46,215,27
1618,1,47,217,27
1639,1,48,220,27
1660,2,43,231,27
1681,0,35,235,27
1702,0,34,242,27
1723,1,30,250,27
1744,2,30,261,27
1765,0,30,272,27
1786,1,27,282,27
1807,0,23,293,27
1828,1,16,307,27
1849,0,16,318,27
1870,4,15,330,27
1891,1,14,333,27
1912,0,13,336,27
1933,0,8,336,27
1954,0,7,336,27
1975,0,6,338,27
1996,0,5,339,27
2017,0,5,341,27
2038,0,4,343,27
2059,0,4,344,27
2080,0,4,348,27
2101,0,4,349,27
2122,0,3,352,27
2143,0,0,354,27
2164,0,0,355,27
2185,0,0,358,27
2206,0,0,359,27
