,newinfections,hospitalized,recovered,deceased
6,2,2,1,0
27,0,2,1,0
48,0,0,3,0
69,0,0,3,0
90,0,0,3,0
111,3,3,3,0
132,0,3,3,0
153,1,3,3,0
174,7,10,3,0
195,16,18,3,0
216,14,27,3,0
237,10,34,3,1
258,22,51,3,1
279,11,55,3,3
300,15,63,3,5
321,14,65,11,6
342,34,85,19,6
363,50,105,19,9
384,77,146,24,11
405,80,206,24,13
426,79,254,24,16
447,87,298,32,19
468,84,358,34,23
489,117,418,42,32
510,99,471,44,38
531,185,584,53,43
552,182,661,54,50
573,193,750,58,53
594,157,814,63,63
615,188,841,103,80
636,173,906,131,95
657,195,991,155,106
678,199,1118,164,118
699,210,1118,200,124
720,201,1195,208,136
741,208,1233,267,150
762,181,1300,291,162
783,169,1308,337,169
804,169,1350,369,185
825,167,1382,392,199
846,157,1429,439,212
867,123,1432,475,219
888,151,1432,502,229
909,118,1421,546,238
930,117,1437,574,244
951,163,1442,644,253
972,154,1437,687,263
993,140,1467,720,273
1014,122,1469,749,279
1035,123,1514,764,284
1056,143,1543,789,300
1077,121,1538,874,311
1098,148,1544,920,316
1119,144,1519,978,332
1140,144,1562,1046,340
1161,87,1555,1093,341
1182,60,1573,1101,349
1203,80,1564,1130,363
1224,80,1571,1142,370
1245,79,1571,1193,375
1266,78,1580,1256,384
1287,92,1604,1276,387
1308,85,1603,1347,389
1329,83,1607,1433,397
1350,75,1600,1491,414
1371,78,1575,1579,431
1392,71,1532,1707,441
1413,56,1477,1744,482
1434,84,1466,1807,497
1455,53,1441,1916,508
1476,38,1430,1938,524
1497,67,1406,2010,534
1518,81,1442,2024,538
1539,39,1380,2143,543
1560,52,1362,2209,549
1581,47,1359,2235,553
1602,32,1349,2322,557
1623,25,1349,2334,562
1644,22,1342,2373,566
1665,38,1307,2438,577
1686,41,1257,2600,595
1707,73,1252,2672,604
1728,32,1232,2758,616
1749,50,1224,2914,622
1770,39,1210,3031,628
1791,20,1198,3079,640
1812,28,1193,3100,647
1833,25,1178,3259,662
1854,31,1178,3285,669
1875,18,1157,3350,676
1896,20,1149,3374,684
1917,16,1145,3401,688
1938,18,1142,3430,693
1959,11,1127,3483,701
1980,21,1099,3580,708
2001,16,876,3825,721
2022,6,827,3932,728
2043,13,787,4010,735
2064,10,650,4105,739
2085,5,636,4155,741
2106,10,570,4188,747
2127,11,539,4260,750
2148,9,531,4309,754
2169,28,526,4346,758
2190,11,516,4362,760
2211,16,515,4450,763
2232,23,509,4515,766
2253,18,415,4533,770
2274,20,366,4596,776
2295,27,340,4913,781
2316,25,348,5778,806
2337,14,342,5825,808
2358,3,341,5855,811
2379,9,346,6024,814
2400,10,322,6120,818
2421,9,299,6167,822
2442,9,285,6181,826
2463,14,286,6195,827
2484,8,286,6199,827
2505,8,224,6250,830
2526,8,200,6315,832
2547,6,194,6337,833
2568,12,193,6354,835
2589,13,198,6412,836
2610,18,198,6418,837
2631,14,200,6418,837
2652,9,203,6428,837
2673,5,202,6437,837
2694,9,202,6448,839
2715,11,199,6460,839
2736,11,199,6475,840
2757,31,208,6477,841
2778,14,210,6484,841
2799,19,212,6493,842
2820,5,215,6495,842
2841,14,211,6508,842
2862,28,211,6520,843
2883,23,210,6530,844
2904,19,211,6535,844
2925,20,209,6557,844
2946,24,202,6601,845
2967,18,198,6616,846
2988,20,200,6631,847
3009,9,184,6687,848
3030,14,184,6698,849
3051,20,183,6703,850
3072,17,189,6713,851
3093,14,184,6714,851
3114,6,184,6722,853
3135,16,183,6728,855
3156,26,189,6735,856
3177,18,193,6743,857
3198,19,195,6749,858
3219,19,198,6759,860
3240,13,202,6762,861
3261,10,203,6773,862
3282,34,207,6780,862
3303,18,197,6829,863
3324,18,192,6839,863
3345,18,181,6852,863
3366,17,185,6855,863
3387,15,183,6859,864
3408,17,187,6863,864
3429,12,195,6878,865
3450,18,193,6886,865
3471,20,192,6891,865
3492,20,197,6901,866
3513,38,197,6910,866
3534,38,203,6912,867
3555,23,212,6915,867
3576,37,199,6931,868
3597,36,204,6960,869
3618,45,201,6966,870
3639,58,202,6971,870
3660,68,213,6973,870
3681,51,221,6979,870
3702,43,224,6991,871
3723,75,235,6996,871
3744,115,244,6999,872
3765,137,254,7009,873
3786,215,271,7020,873
3807,184,292,7046,874
3828,146,305,7067,875
3849,143,287,7077,875
3870,162,269,7110,876
3891,152,274,7118,877
3912,166,289,7122,878
3933,171,301,7127,878
3954,156,317,7130,878
3975,148,335,7139,878
3996,125,344,7153,878
4017,130,352,7161,878
4038,154,360,7177,879
4059,171,372,7204,879
4080,158,355,7242,880
4101,122,365,7257,881
4122,159,368,7294,881
4143,129,363,7334,881
4164,175,367,7363,881
4185,163,381,7413,882
4206,148,379,7466,883
4227,155,417,7475,884
4248,143,441,7483,885
4269,181,427,7523,885
4290,139,471,7559,887
4311,165,485,7593,887
4332,181,508,7617,889
4353,193,476,7680,889
4374,197,467,7751,890
4395,165,445,7765,890
4416,198,493,7807,895
4437,238,513,7851,899
4458,195,553,7889,902
4479,230,579,7956,902
4500,230,599,8040,904
4521,219,626,8081,906
4542,181,648,8119,907
4563,211,681,8215,910
4584,219,719,8303,913
4605,210,706,8409,918
4626,265,715,8474,923
4647,264,727,8529,928
4668,261,758,8607,933
4689,244,785,8637,939
4710,248,812,8671,944
4731,275,818,8794,948
4752,357,856,8855,954
4773,359,876,8936,960
4794,387,910,8983,966
4815,384,941,9042,972
4836,371,980,9072,976
4857,395,1005,9179,984
4878,579,979,9238,989
4899,543,1022,9350,994
4920,594,1059,9395,1001
4941,795,1102,9473,1006
4962,994,1141,9535,1018
4983,1198,1184,9584,1024
5004,939,1241,9703,1033
5025,1224,1319,9780,1038
5046,1219,1355,9913,1054
5067,1251,1424,10020,1070
5088,1389,1489,10108,1081
5109,1687,1579,10202,1090
5130,1541,1622,10323,1100
5151,1698,1757,10414,1116
5172,1993,1798,10648,1139
5193,1963,1835,10788,1158
5214,1995,1954,11002,1173
5235,2246,2048,11196,1190
5256,2289,2126,11304,1212
5277,2351,2240,11436,1231
5298,1859,2217,11595,1254
5319,2209,2389,11837,1275
5340,2432,2534,12081,1309
5361,2735,2730,12374,1344
5382,2699,2745,12653,1370
5403,2618,2856,12892,1397
5424,2489,2923,13023,1413
5445,2153,2998,13264,1429
5466,2608,3042,13521,1465
5487,2479,3168,13968,1503
5508,2686,3212,14269,1552
5529,2925,3278,14680,1586
5550,2997,3349,15079,1625
5571,2612,3433,15319,1646
5592,2407,3377,15731,1680
5613,2538,3374,16225,1739
5634,2866,3374,16775,1819
5655,2697,3432,17361,1880
5676,2667,3539,17782,1921
5697,2658,3594,18273,1958
5718,2533,3637,18609,1978
5739,2341,3686,19066,2026
5760,2509,3706,19606,2088
5781,2102,3697,20881,2146
5802,2260,3760,22334,2215
5823,2276,3762,23910,2284
5844,2070,3708,24627,2309
5865,1993,3713,26151,2328
5886,1589,3734,27212,2367
5907,1669,3593,28080,2431
5928,1791,3632,28860,2476
5949,1769,3597,29616,2514
5970,1831,3538,30427,2576
5991,1783,3424,32536,2608
6012,1632,3476,33422,2622
6033,1372,3549,35445,2668
6054,1501,3432,36418,2701
6075,1297,3451,37873,2734
6096,1488,3375,42344,2802
6117,1230,3365,46080,2870
6138,1194,3306,48108,2911
6159,1339,3278,50129,2938
6180,1315,3285,52166,2976
6201,1159,3242,54870,3059
6222,1220,3174,59004,3099
6243,1597,3171,63181,3156
6264,1428,3090,66006,3230
6285,1410,3079,67945,3271
6306,1213,3090,68946,3292
6327,1205,3027,70397,3334
6348,1288,3012,72172,3390
6369,946,3026,73321,3434
6390,1519,2983,75027,3458
6411,1691,2956,76104,3489
6432,1123,3039,76983,3513
6453,977,3103,77800,3529
6474,966,3127,79087,3576
6495,1218,3159,81636,3630
6516,1333,3111,83125,3696
6537,1767,3092,84109,3769
6558,1913,3057,84811,3792
6579,1275,3107,85975,3816
6600,1681,3133,86927,3840
6621,1334,3170,88314,3863
6642,1719,3177,89730,3935
6663,2007,3149,91242,3972
6684,1779,3192,92821,4015
6705,1613,3180,94457,4060
6726,1543,3134,95632,4114
6747,1746,3173,96745,4131
6768,1254,3208,97858,4176
6789,1381,3197,99491,4218
6810,1612,3205,101426,4259
6831,1816,3109,103438,4306
6852,1394,3079,105021,4342
6873,1282,3078,106646,4378
6894,1243,3062,107734,4399
6915,872,3200,108755,4415
6936,1100,3073,111905,4474
6957,1281,3023,115172,4535
6978,1303,2933,116943,4571
6999,1141,2962,119270,4624
7020,1297,2859,121705,4666
7041,1056,2830,123626,4682
7062,874,2847,126184,4722
7083,1039,2827,128709,4765
7104,1338,2791,131214,4827
7125,1263,2747,132695,4870
7146,1160,2727,134212,4918
7167,1138,2689,135765,4945
7188,943,2672,137263,4984
7209,717,2661,139653,5022
7230,842,2625,141160,5074
7251,1164,2629,143279,5123
7272,1174,2581,146154,5165
7293,1141,2536,148464,5201
7314,1014,2543,149818,5239
7335,920,2496,153803,5259
7356,782,2520,158361,5291
7377,847,2525,161679,5324
7398,1027,2493,164867,5375
7419,1271,2417,167797,5406
7440,1089,2396,170603,5440
7461,1060,2377,172413,5461
7482,809,2351,174244,5472
7503,760,2344,176129,5506
7524,894,2318,178160,5538
7545,871,2283,179630,5593
7566,1025,2177,181583,5634
7587,990,2156,182565,5672
7608,921,2111,183616,5704
7629,1048,2093,184656,5719
7650,854,2094,185715,5743
7671,889,2079,186854,5776
7692,1188,2054,188051,5814
7713,1256,2034,189174,5832
7734,1539,2047,190256,5851
7755,1347,2030,191352,5871
7776,1341,1980,192544,5883
7797,1044,2063,193638,5911
7818,1188,2057,194725,5940
7839,1520,2065,196216,5975
7860,1702,2101,197642,5997
7881,1525,2120,198629,6016
7902,1563,2138,199572,6029
7923,1399,2191,200515,6042
7944,1175,2275,201354,6064
7965,1431,2310,202106,6092
7986,1654,2343,203439,6114
8007,1800,2346,204761,6130
8028,1757,2398,205518,6154
8049,1998,2450,206306,6173
8070,1812,2493,207026,6183
8091,1536,2590,207690,6203
8112,1497,2693,208300,6235
8133,1728,2704,210023,6255
8154,1963,2721,211323,6278
8175,2188,2747,212397,6316
8196,1821,2793,213135,6340
8217,1793,2904,214277,6355
8238,1407,3019,214853,6374
8259,1491,3029,215994,6400
8280,1709,3074,217708,6430
8301,2055,3118,219460,6463
8322,2006,3152,221271,6500
8343,1825,3236,222009,6515
8364,1836,3251,222686,6529
8385,1403,3393,224247,6574
8406,1593,3408,225943,6606
8427,1800,3415,227752,6644
8448,1838,3406,229560,6677
8469,1918,3444,231342,6720
8490,1631,3469,232135,6747
8511,1523,3462,232937,6773
8532,1419,3491,233743,6805
8553,1120,3636,234470,6848
8574,1081,3647,236271,6895
8595,1240,3610,238105,6932
8616,1363,3541,239660,6979
8637,1463,3504,240640,7014
8658,1675,3460,242625,7033
8679,1057,3446,243637,7070
8700,1164,3456,244661,7106
8721,1230,3375,246782,7155
8742,1330,3320,248667,7201
8763,1474,3241,249720,7240
8784,1378,3156,251258,7265
8805,1127,3077,252398,7290
8826,950,3123,253642,7328
8847,926,3135,255816,7362
