,newinfections,hospitalized,recovered,deceased
8,166,95,0,6
29,68,104,0,9
50,18,104,0,9
71,145,213,40,14
92,128,282,40,17
113,84,336,40,23
134,369,512,73,24
155,270,605,139,38
176,266,865,139,55
197,300,1086,250,73
218,431,1413,376,98
239,361,1931,469,135
260,808,2020,524,154
281,769,2616,550,267
302,1280,3242,646,333
323,322,3785,896,468
344,1489,4412,900,617
365,1445,4852,1085,744
386,1095,5085,1198,890
407,1865,5630,1660,966
428,1587,6267,2011,1218
449,1377,6994,2368,1420
470,1571,7832,2485,1640
491,1493,8209,3488,1959
512,2171,8393,3778,2168
533,2380,8785,4295,2549
554,3251,9351,5050,3095
575,1691,10581,5865,3456
596,1555,10449,6075,3776
617,1942,10905,6657,4178
638,1643,11262,7281,4474
659,2543,11944,7839,4861
680,2409,12429,8001,5402
701,2117,12471,8962,5944
722,1592,12941,9255,6360
743,1154,13145,10337,6818
764,1047,13207,10885,7199
785,1565,13269,11415,7593
806,1292,13113,12229,7960
827,1455,13183,13020,8311
848,1598,13328,13242,8656
869,1337,13326,13426,8905
890,1079,13257,13863,9202
911,791,13138,14498,9484
932,1089,12976,15147,9722
953,1388,13032,15706,10022
974,1246,13079,16280,10238
995,1544,13200,16823,10511
1016,1460,13145,17166,10621
1037,1262,13171,17478,10901
1058,1012,13199,17821,11142
1079,827,13117,17855,11377
1100,941,12388,18396,11608
1121,1041,11598,18850,11851
1142,1246,10989,19136,12050
1163,855,11264,19526,12213
1184,735,11039,20008,12376
1205,960,10656,21374,12579
1226,1161,10509,22110,12740
1247,1073,9982,23352,12940
1268,1091,9547,23782,13106
1289,713,9213,24227,13269
1310,920,9187,24398,13325
1331,590,8205,24589,13449
1352,869,7935,25029,13575
1373,786,7754,25333,13679
1394,598,7439,25749,13772
1415,737,7191,26136,13860
1436,533,7074,26146,14189
1457,526,7141,26371,14231
1478,577,6946,26504,14294
1499,500,6710,27124,14389
1520,764,6559,33005,14611
1541,720,6328,33329,14745
1562,634,6102,33901,14839
1583,502,5865,36039,14924
1604,282,5776,36331,14986
1625,364,5738,36406,15054
1646,1033,5544,37113,15116
1667,394,5314,38081,15185
1688,522,5115,38568,15296
1709,299,4981,40962,15411
1730,399,4789,41389,15450
1751,326,4735,41895,15519
1772,175,4734,42403,15543
1793,462,4670,42593,15597
1814,294,4512,43442,15662
1835,316,4345,43649,15727
1856,293,4235,44667,15784
1877,441,4225,45355,15840
1898,285,4214,45656,15840
1919,148,3917,46169,15874
1940,159,3805,47044,15896
1961,384,3801,47810,15954
1982,382,3643,49296,15974
2003,354,3725,49842,16012
2024,221,3479,50870,16079
2045,210,3301,51860,16112
2066,50,3252,52026,16131
2087,187,3187,52807,16143
2108,237,3126,53046,16172
2129,84,3079,53101,16201
2150,402,3080,53853,16222
2171,142,2950,54322,16249
2192,125,2908,54505,16270
2213,194,2815,54768,16302
2234,192,2756,55967,16317
2255,99,2663,56474,16349
2276,252,2585,57218,16374
2297,272,2454,57775,16405
2318,210,2348,58201,16428
2339,244,2210,59220,16449
2360,259,2112,59484,16457
2381,143,1971,60361,16466
2402,242,1855,60850,16480
2423,216,1733,61355,16516
2444,157,1597,62096,16534
2465,165,1455,62372,16557
2486,128,1313,62555,16570
2507,143,1098,62900,16573
2528,62,961,63691,16579
2549,88,740,64448,16586
2570,170,670,64831,16608
2591,156,548,65323,16624
2612,77,458,66046,16626
2633,97,366,66175,16639
2654,78,364,66376,16640
2675,62,339,67197,16644
2696,109,318,67422,16650
2717,98,282,67610,16671
2738,115,282,67871,16675
2759,95,267,68201,16691
2780,98,266,68274,16697
2801,111,269,68335,16700
2822,53,265,68793,16713
2843,71,245,69466,16725
2864,119,232,69683,16730
2885,135,217,69828,16736
2906,67,202,70020,16740
2927,77,191,70297,16748
2948,94,198,70375,16757
2969,30,203,70461,16760
2990,63,200,70936,16765
3011,80,187,71032,16775
3032,55,181,71172,16778
3053,88,171,71416,16788
3074,33,170,71464,16788
3095,56,172,71611,16796
3116,34,172,71775,16797
3137,51,166,71860,16798
3158,82,156,71973,16801
3179,53,161,72208,16801
3200,79,161,72271,16801
3221,74,152,72349,16801
3242,34,151,72429,16801
3263,53,164,72528,16802
3284,46,167,72689,16802
3305,88,164,73305,16802
3326,77,155,73402,16806
3347,55,167,73512,16807
3368,38,162,73676,16815
3389,25,171,73724,16818
3410,44,169,73810,16819
3431,138,175,73872,16824
3452,118,179,74080,16829
3473,69,179,74232,16829
3494,76,171,74403,16832
3515,71,164,74432,16833
3536,31,159,74504,16833
3557,68,170,74605,16833
3578,102,175,74700,16833
3599,74,181,74754,16835
3620,97,165,75012,16836
3641,94,161,75125,16837
3662,61,160,75163,16840
3683,43,161,75248,16840
3704,50,164,75319,16840
3725,91,165,75398,16844
3746,154,171,75449,16846
3767,174,166,75546,16852
3788,185,162,75649,16852
