,newinfections,hospitalized,recovered,deceased
9,0,0,0,0
30,0,0,0,0
51,1,1,0,0
72,2,3,0,0
93,3,5,0,0
114,5,8,0,0
135,14,17,0,0
156,10,23,0,1
177,26,40,0,2
198,23,49,0,4
219,40,76,0,4
240,35,93,0,4
261,48,130,0,6
282,65,151,0,7
303,51,183,0,10
324,71,206,0,13
345,85,278,0,18
366,113,330,0,22
387,133,422,0,27
408,174,542,0,36
429,234,619,0,46
450,109,638,0,57
471,129,708,0,69
492,197,757,0,92
513,169,797,0,115
534,244,842,0,137
555,172,883,2,154
576,268,954,6,184
597,148,1030,8,203
618,167,1011,8,231
639,198,1086,8,287
660,180,1143,9,310
681,82,1141,10,336
702,177,1153,10,364
723,185,1168,12,386
744,126,1165,16,417
765,141,1115,21,452
786,137,1152,29,477
807,136,1150,40,503
828,132,1140,42,557
849,111,1150,270,574
870,123,1138,287,599
891,150,1141,296,612
912,96,1101,342,630
933,149,1107,645,652
954,96,1078,885,669
975,129,1052,1086,682
996,127,1078,1291,689
1017,92,1063,1489,700
1038,78,1067,1588,713
1059,45,1043,1603,728
1080,77,994,1660,746
1101,79,952,1694,764
1122,86,933,1726,785
1143,53,892,1754,795
1164,48,885,1780,807
1185,57,872,1792,822
1206,51,862,1825,834
1227,47,811,1849,845
1248,28,798,1865,857
1269,76,766,1890,865
1290,30,747,1912,874
1311,53,726,1924,879
1332,16,725,1933,884
1353,48,724,1948,893
1374,35,692,1964,899
1395,37,513,2131,906
1416,28,457,2153,911
1437,23,445,2177,916
1458,21,443,2194,927
1479,44,433,2225,932
1500,29,429,2237,936
1521,29,395,2242,943
1542,31,369,2257,948
1563,18,341,2278,954
1584,23,317,2305,958
1605,40,314,2322,960
1626,10,305,2352,964
1647,25,254,2391,969
1668,20,231,2604,971
1689,15,207,2725,974
1710,16,196,2847,977
1731,23,171,3003,982
1752,25,169,3118,984
1773,11,173,3379,984
1794,-3,161,3561,986
1815,2,141,3716,987
1836,12,127,3867,990
1857,8,116,3939,990
1878,4,115,3995,993
1899,13,114,4028,994
1920,2,108,4059,995
1941,2,107,4147,996
1962,0,103,4272,996
1983,1,92,4376,997
2004,4,78,4385,986
2025,4,75,4393,987
2046,3,71,4405,987
2067,0,72,4416,987
2088,4,69,4421,987
2109,1,65,4438,987
2130,3,57,4447,988
2151,2,55,4458,989
2172,2,49,4556,991
2193,3,43,4595,991
2214,2,43,4681,991
2235,0,32,4763,992
2256,3,29,4811,992
2277,1,26,4857,992
2298,1,22,5009,993
2319,2,22,5084,993
2340,4,21,5139,993
2361,4,18,5152,993
2382,1,19,5168,994
2403,1,21,5185,994
2424,4,19,5197,994
2445,0,14,5214,994
2466,0,13,5235,994
2487,0,14,5247,994
2508,3,13,5275,994
2529,1,11,5288,994
2550,4,12,5314,994
2571,2,10,5330,991
2592,2,10,5385,991
2613,2,9,5437,991
2634,0,9,5474,991
2655,0,9,5520,991
2676,0,8,5528,991
2697,5,8,5551,987
2718,3,8,5564,987
2739,0,6,5575,987
2760,0,5,5599,987
2781,1,5,5609,987
2802,0,5,5614,987
2823,1,5,5619,987
2844,3,5,5623,987
2865,4,5,5638,987
2886,1,4,5644,987
2907,4,4,5647,987
2928,1,4,5650,987
2949,0,4,5658,987
2970,1,4,5658,987
2991,0,4,5661,987
3012,1,4,5663,987
3033,3,4,5667,987
3054,3,3,5670,987
3075,0,3,5674,987
3096,0,3,5678,987
3117,2,3,5682,987
3138,1,3,5687,987
3159,1,3,5691,987
3180,1,3,5697,987
3201,2,4,5702,987
3222,7,4,5716,987
3243,2,5,5728,987
3264,11,4,5731,987
3285,17,5,5738,987
3306,8,6,5746,987
3327,21,6,5750,987
3348,5,8,5758,987
3369,8,11,5763,987
3390,0,13,5770,987
3411,2,15,5773,987
3432,6,15,5781,987
3453,9,16,5786,987
3474,21,13,5790,987
3495,3,14,5795,987
3516,16,13,5799,987
3537,2,11,5804,987
3558,4,11,5811,987
3579,16,10,5822,987
3600,11,8,5831,987
3621,32,11,5842,987
3642,11,14,5849,987
3663,5,13,5854,987
3684,8,13,5861,987
3705,15,14,5866,987
3726,7,14,5871,987
3747,13,15,5874,987
3768,17,14,5876,987
3789,10,12,5876,987
3810,5,13,5878,987
3831,3,13,5883,987
3852,11,14,5889,987
3873,9,9,5905,987
3894,61,8,5924,987
3915,17,9,5933,987
3936,12,11,5940,987
3957,15,13,5949,987
3978,2,14,5955,987
3999,16,15,5960,987
4020,17,15,5966,987
4041,21,14,5971,988
4062,17,13,5982,988
4083,32,14,5986,988
4104,20,15,5990,988
4125,6,17,5994,988
4146,15,17,5999,988
4167,19,16,6005,988
4188,40,13,6015,989
4209,41,15,6029,989
4230,27,14,6036,989
4251,39,16,6041,989
4272,11,17,6044,989
4293,14,19,6050,989
4314,38,17,6063,989
4335,37,22,6079,989
4356,29,23,6084,989
4377,24,25,6093,989
4398,31,23,6103,989
4419,17,26,6112,989
4440,18,27,6120,989
4461,32,28,6126,989
4482,17,28,6129,989
4503,33,24,6140,990
4524,26,25,6146,990
4545,24,22,6151,990
4566,5,29,6154,990
4587,26,29,6161,990
4608,23,30,6170,990
4629,28,30,6180,990
4650,42,29,6191,990
4671,59,29,6197,991
4692,59,30,6210,992
4713,22,34,6219,992
4734,35,35,6226,992
4755,84,36,6240,992
4776,66,39,6251,992
4797,49,40,6262,992
4818,86,44,6290,992
4839,108,50,6298,992
4860,37,55,6309,992
4881,82,66,6325,992
4902,166,72,6349,992
4923,140,70,6362,992
4944,115,83,6387,992
4965,121,87,6400,992
4986,204,101,6418,995
5007,98,113,6443,995
5028,89,118,6467,996
5049,226,134,6497,997
5070,321,152,6570,998
5091,453,174,6596,1000
5112,274,201,6619,1001
5133,521,201,6711,1003
5154,238,253,6752,1004
5175,380,278,6827,1006
5196,351,282,6875,1008
5217,686,286,6950,1009
5238,524,301,6965,1013
5259,502,322,6997,1019
5280,683,369,7060,1021
5301,373,384,7110,1025
5322,431,427,7160,1031
5343,653,452,7231,1032
5364,698,477,7298,1034
5385,697,504,7379,1037
5406,631,521,7415,1045
5427,502,562,7498,1050
5448,262,590,7543,1057
5469,504,600,7599,1067
5490,701,610,7665,1077
5511,834,610,7795,1083
5532,740,633,7902,1094
5553,779,558,8088,1102
5574,707,560,8156,1111
5595,282,577,8268,1119
5616,357,603,8314,1130
5637,479,606,8542,1139
5658,667,604,9095,1150
5679,512,623,9475,1161
5700,452,630,9775,1168
5721,529,630,10047,1180
5742,161,640,10105,1188
5763,351,644,10188,1201
5784,448,672,10312,1211
5805,519,676,10443,1221
5826,490,655,10490,1230
5847,473,656,10551,1242
5868,518,683,10603,1255
5889,252,672,10626,1264
5910,337,672,10663,1276
5931,421,650,10706,1289
5952,476,614,10793,1298
5973,492,605,10866,1305
5994,418,590,10938,1314
6015,443,600,11008,1327
6036,145,600,17153,1337
6057,293,601,17655,1355
6078,229,603,18179,1364
6099,323,587,18791,1373
6120,483,576,19374,1379
6141,451,573,20324,1390
6162,481,557,21100,1404
6183,174,552,20756,1414
6204,228,545,21882,1428
6225,480,523,23112,1437
6246,467,503,23869,1446
6267,381,491,24527,1459
6288,369,481,25358,1469
6309,372,480,26032,1476
6330,162,486,26350,1484
6351,363,482,26806,1491
6372,498,472,27238,1495
6393,415,473,27788,1504
6414,603,458,28227,1516
6435,206,476,28359,1522
6456,181,493,28499,1527
6477,131,514,28556,1535
6498,508,526,28661,1546
6519,585,530,28792,1557
6540,703,532,28875,1571
6561,693,540,28997,1581
6582,285,544,29221,1594
6603,372,546,29301,1607
6624,355,552,29397,1615
6645,458,560,29447,1634
6666,743,579,29585,1647
6687,346,590,29633,1661
6708,564,600,29752,1676
6729,688,600,29837,1685
6750,687,614,29871,1698
6771,333,629,30868,1711
6792,499,667,31734,1723
6813,480,667,33234,1735
6834,506,659,34687,1753
6855,629,669,35810,1763
6876,409,676,36805,1772
6897,440,673,37786,1783
6918,157,676,38223,1794
6939,359,672,39277,1810
6960,417,657,40604,1825
6981,500,638,41629,1841
7002,437,634,41858,1852
7023,397,626,42103,1864
7044,525,620,42204,1874
7065,200,622,42556,1883
7086,291,618,42752,1894
7107,466,626,42965,1909
7128,429,621,43336,1926
7149,371,613,43714,1939
7170,465,613,44010,1955
7191,362,601,44263,1966
7212,189,607,44526,1978
7233,333,612,45342,1986
7254,408,603,46068,1996
7275,480,605,46774,2011
7296,414,606,47357,2027
7317,436,606,48089,2033
7338,394,602,48473,2042
7359,171,609,48593,2050
7380,270,616,48919,2058
7401,421,606,49421,2070
7422,530,604,49747,2078
7443,515,607,50004,2085
7464,405,617,50278,2096
7485,355,624,50574,2104
7506,128,620,50676,2116
7527,277,615,51088,2120
7548,471,612,51394,2135
7569,532,599,51708,2152
7590,488,606,52034,2169
7611,547,612,52381,2177
7632,488,606,52643,2184
7653,117,621,52752,2195
7674,581,633,53109,2204
7695,616,639,53481,2209
7716,732,643,53956,2219
7737,686,642,54503,2224
7758,798,648,54970,2240
7779,588,654,55375,2252
7800,446,649,56059,2259
7821,415,648,56671,2275
7842,759,645,57279,2286
7863,919,667,57931,2295
7884,1027,685,58913,2307
7905,836,694,59651,2318
7926,852,714,60299,2334
7947,349,729,60936,2338
7968,423,734,61375,2350
7989,881,760,61756,2363
8010,921,769,62480,2373
8031,874,784,63317,2384
8052,1000,813,64101,2395
8073,616,834,64854,2411
8094,415,854,65726,2422
8115,529,868,66530,2437
8136,856,880,67406,2452
8157,820,891,68188,2464
8178,822,890,69109,2473
8199,856,895,69954,2493
8220,700,907,70607,2501
8241,265,920,70964,2512
8262,405,945,71366,2521
8283,632,959,71845,2534
8304,621,961,72371,2549
8325,674,959,73092,2566
8346,660,960,73841,2579
8367,505,953,74403,2591
8388,232,958,75160,2598
8409,329,957,75568,2611
8430,650,949,76382,2621
8451,487,939,76904,2640
8472,651,935,77762,2655
8493,579,925,78365,2666
8514,323,886,78773,2682
8535,182,906,78975,2691
8556,66,924,79302,2701
8577,286,897,79677,2717
8598,490,893,80139,2737
8619,452,880,80651,2752
8640,414,857,81138,2760
8661,406,857,81506,2771
8682,111,862,81757,2781
8703,222,840,82073,2792
8724,415,787,82576,2798
8745,326,750,83003,2817
8766,326,718,83355,2830
8787,341,678,83758,2836
8808,277,658,84076,2848
8829,137,656,84392,2859
8850,211,631,84719,2868
8871,388,609,85101,2878
8892,272,596,85428,2885
8913,326,575,86052,2896
8934,287,550,86614,2904
8955,299,545,86931,2909
8976,123,546,87216,2915
8997,223,523,87590,2919
9018,301,506,87947,2924
9039,308,489,88259,2934
9060,330,475,88565,2938
9081,259,464,88843,2943
9102,132,482,89051,2944
9123,59,482,89134,2945
9144,204,475,89398,2951
9165,278,459,89811,2953
9186,282,438,90207,2957
9207,314,421,90607,2960
9228,254,403,90934,2965
9249,250,390,91235,2968
9270,57,392,91306,2970
9291,151,369,91734,2973
9312,230,352,92040,2977
9333,233,336,92358,2981
9354,252,328,92869,2988
9375,149,316,93106,2990
9396,215,303,93288,2991
9417,53,310,93360,2992
9438,115,280,93513,2996
9459,130,260,93716,2996
9480,214,236,93966,2998
9501,176,234,94166,3000
9522,125,225,94303,3004
9543,107,212,94432,3004
9564,58,205,94495,3006
9585,77,187,94598,3009
9606,132,174,94696,3010
9627,154,166,95051,3011
9648,103,158,95231,3012
9669,83,150,95447,3012
9690,81,141,95683,3013
9711,50,137,95833,3015
9732,34,126,96094,3017
9753,125,118,96357,3018
9774,35,118,96397,3018
9795,71,113,96494,3018
9816,98,109,96621,3018
9837,75,96,96723,3020
9858,20,98,96748,3022
9879,33,98,96905,3024
9900,82,90,97106,3024
9921,46,86,97288,3024
9942,43,80,97346,3025
9963,34,67,97483,3025
9984,33,61,97587,3025
10005,3,61,97685,3025
10026,16,60,97733,3026
10047,29,49,97783,3026
10068,21,48,98019,3028
10089,28,44,98277,3030
10110,16,40,98424,3031
10131,15,39,98496,3031
10152,0,35,98569,3031
10173,17,36,98724,3033
10194,15,32,98866,3034
10215,12,33,98929,3034
10236,13,30,99022,3035
10257,5,29,99100,3036
10278,13,29,99163,3036
10299,3,30,99209,3036
10320,8,25,99246,3036
10341,15,20,99317,3036
10362,46,15,99367,3036
10383,28,12,99397,3037
10404,32,7,99455,3037
10425,41,10,99478,3037
10446,4,10,99490,3038
10467,39,9,99520,3038
10488,52,8,99564,3038
10509,42,11,99595,3038
10530,19,10,99621,3038
10551,35,10,99632,3038
10572,39,10,99645,3038
10593,9,10,99659,3038
10614,21,11,99670,3038
10635,60,12,99695,3038
10656,40,11,99718,3038
10677,52,13,99742,3038
10698,53,13,99760,3038
10719,60,15,99788,3038
10740,25,15,99798,3038
10761,54,14,99845,3038
10782,73,15,99890,3039
10803,99,19,99955,3039
10824,106,17,100015,3039
10845,105,18,100089,3039
10866,88,18,100134,3039
10887,54,19,100186,3039
10908,67,16,100290,3039
10929,162,21,100338,3039
10950,101,25,100432,3039
10971,151,26,100497,3039
10992,165,27,100544,3039
11013,126,31,100587,3039
11034,65,35,100619,3039
11055,125,38,100682,3039
11076,211,42,100743,3039
11097,197,50,100798,3040
11118,217,51,100873,3040
11139,221,49,100937,3041
11160,151,51,100993,3041
11181,46,55,101017,3041
11202,146,53,101175,3041
11223,208,48,101388,3041
11244,199,43,101585,3041
11265,171,38,101740,3041
11286,199,40,101877,3043
11307,160,45,101989,3043
11328,69,45,102050,3043
11349,101,47,102126,3043
11370,205,53,102241,3043
11391,208,54,102498,3043
11412,156,58,102700,3044
11433,198,58,102918,3045
11454,140,55,103100,3045
11475,34,57,103124,3045
11496,120,66,103197,3045
11517,259,78,103277,3045
11538,251,77,103349,3045
11559,222,81,103545,3046
11580,255,85,103652,3046
11601,147,82,103715,3046
11622,46,81,103785,3046
11643,102,79,103975,3046
11664,169,87,104221,3046
11685,224,87,104426,3047
11706,172,79,104574,3048
11727,171,80,104718,3049
11748,139,82,104834,3051
11769,49,78,104908,3052
11790,110,79,105086,3052
11811,207,80,105301,3052
11832,209,81,105507,3054
11853,114,83,105692,3054
11874,124,82,105826,3056
11895,130,83,105952,3056
11916,16,84,106092,3056
11937,119,82,106309,3058
11958,173,83,106504,3061
11979,117,81,106707,3061
12000,105,84,106845,3062
12021,94,81,106951,3063
12042,147,79,107138,3065
12063,25,77,107336,3065
12084,83,78,107462,3066
12105,102,79,107598,3067
12126,87,80,107681,3068
12147,73,81,107754,3068
12168,62,79,107816,3070
12189,79,76,107883,3072
12210,26,76,107917,3072
12231,61,74,107971,3072
12252,71,75,108033,3077
12273,82,75,108118,3078
12294,94,70,108223,3078
12315,57,65,108336,3078
12336,66,58,108462,3079
12357,18,59,108498,3079
12378,86,61,108644,3079
12399,73,55,108801,3079
12420,70,51,108889,3079
12441,71,51,108960,3079
12462,49,55,109056,3082
12483,91,56,109149,3082
12504,17,56,109176,3082
12525,54,56,109250,3083
12546,71,55,109408,3083
12567,40,54,109538,3085
12588,99,54,109673,3085
12609,23,54,109731,3086
12630,68,55,109784,3086
12651,37,54,109833,3087
12672,63,54,109908,3090
12693,104,56,110020,3091
12714,100,54,110122,3091
12735,116,55,110222,3092
12756,78,56,110315,3094
12777,118,55,110391,3095
12798,45,58,110496,3095
12819,103,55,110574,3099
12840,105,59,110626,3101
12861,91,61,110713,3103
12882,122,65,110796,3104
12903,128,69,110841,3105
12924,118,72,110873,3107
12945,45,72,110914,3107
12966,42,80,110957,3107
12987,140,81,111009,3108
13008,159,81,111067,3109
13029,252,82,111188,3111
13050,172,85,111224,3114
13071,157,88,111282,3114
13092,73,94,111355,3114
13113,138,92,111462,3115
13134,301,93,111677,3118
13155,230,91,111887,3118
13176,210,91,112012,3119
13197,253,87,112170,3120
13218,285,80,112223,3121
13239,99,93,112395,3122
13260,226,91,112622,3123
13281,326,91,112836,3124
13302,290,86,112989,3126
13323,390,88,113269,3128
13344,283,89,113496,3131
13365,381,87,113754,3133
13386,93,91,113857,3136
13407,264,90,113962,3137
13428,361,92,114181,3142
13449,480,95,114382,3142
13470,575,97,114633,3143
13491,427,103,114867,3146
13512,378,102,115040,3148
13533,181,107,115247,3149
13554,416,110,115657,3152
13575,475,113,116072,3152
13596,439,117,116418,3154
13617,476,123,116873,3155
13638,444,126,117248,3157
13659,474,126,117595,3158
13680,149,130,117845,3160
13701,411,136,118092,3163
13722,464,142,118365,3163
13743,195,143,118566,3164
13764,631,143,118918,3168
13785,565,144,119321,3170
13806,595,152,119675,3171
13827,227,159,120027,3172
13848,518,163,120529,3174
13869,674,177,121134,3176
13890,753,186,121780,3179
13911,682,191,122430,3185
13932,703,201,123027,3190
13953,649,204,123589,3192
13974,300,213,123829,3194
13995,689,216,124547,3197
14016,836,216,125359,3200
14037,871,228,126180,3205
14058,1103,222,127137,3211
14079,890,220,127988,3216
14100,385,241,128415,3216
14121,309,245,128720,3220
14142,1098,254,129627,3224
14163,1707,261,131137,3235
14184,1814,260,132930,3238
14205,2079,262,134580,3244
14226,1619,270,136073,3249
14247,699,277,136421,3252
14268,519,286,136907,3255
14289,1601,288,137976,3260
14310,2147,296,139756,3265
14331,3120,293,141752,3269
14352,1033,295,142806,3276
14373,2318,307,144312,3284
14394,1884,309,146295,3286
14415,879,304,147109,3286
14436,1745,310,148955,3294
14457,2393,326,151170,3298
14478,1955,325,153174,3301
14499,4257,329,155580,3302
14520,5766,328,158745,3305
14541,4923,338,161618,3311
14562,2012,343,164270,3314
14583,7748,347,170788,3322
14604,5850,349,176350,3330
14625,6905,342,183259,3333
14646,5853,349,189268,3339
14667,5952,346,193654,3344
14688,5483,341,198322,3348
14709,2268,350,200475,3356
14730,7806,354,207086,3367
14751,6196,357,213095,3382
14772,6152,358,216143,3390
14793,4980,361,220946,3400
14814,5111,371,223516,3407
14835,4520,364,228721,3412
14856,1753,384,230453,3418
14877,6167,408,237967,3426
14898,4911,392,243067,3433
14919,4607,395,247670,3442
14940,4030,392,251884,3449
14961,2484,377,254196,3453
14982,2519,379,258336,3458
15003,1022,377,259542,3468
15024,3152,366,262129,3477
15045,3213,367,265435,3485
15066,2935,361,266652,3486
15087,2556,348,269352,3492
15108,2409,344,273756,3497
15129,2153,343,276459,3503
15150,1024,352,276569,3507
15171,2881,350,278858,3516
15192,2204,349,281004,3526
15213,2174,340,282965,3534
15234,1873,318,284852,3538
15255,1813,308,287095,3548
15276,1634,301,290216,3551
15297,560,303,290518,3556
15318,1858,294,292364,3563
15339,1587,273,293906,3566
15360,1791,260,295760,3573
15381,1579,249,297332,3576
15402,1268,239,301519,3580
15423,1271,229,304251,3588
15444,579,237,304785,3592
15465,1904,221,308047,3597
15486,1092,196,308764,3601
15507,1158,202,309913,3604
15528,1502,192,311947,3607
15549,1533,191,314113,3608
15570,1619,183,316965,3611
15591,783,192,318606,3614
15612,2213,187,320908,3619
15633,1748,188,322725,3619
15654,1893,184,324500,3621
15675,1528,183,326024,3626
15696,1512,175,328502,3629
15717,2099,172,330401,3635
15738,906,174,330755,3638
15759,3271,165,333805,3643
15780,2424,168,336454,3644
15801,2889,175,338996,3646
15822,2862,191,341166,3653
15843,2560,196,343386,3657
15864,2396,202,344990,3661
15885,1055,218,346141,3669
15906,3513,220,349638,3672
15927,2616,227,351694,3673
15948,2821,233,354065,3677
15969,2502,238,356333,3682
15990,2349,238,358945,3686
16011,2062,235,361734,3691
16032,514,248,362980,3696
16053,3323,249,365892,3697
16074,2415,254,369183,3702
16095,2349,257,371964,3708
16116,2386,250,374928,3709
16137,2180,249,377400,3716
16158,1885,244,379723,3716
16179,860,255,380823,3724
16200,2814,241,384272,3733
16221,1981,245,386419,3741
16242,2249,231,389606,3746
16263,2086,231,391961,3750
16284,1885,235,394200,3752
16305,1789,218,396040,3757
16326,714,211,396954,3765
16347,2656,209,400024,3770
16368,1071,215,401098,3771
16389,1894,205,403268,3776
16410,1922,199,404953,3781
16431,1784,202,407412,3787
16452,1663,193,409237,3791
16473,617,197,410279,3794
16494,877,194,411479,3801
16515,2894,184,414775,3809
16536,1995,181,417438,3815
16557,2154,177,419008,3817
16578,2063,186,421358,3819
16599,1829,182,423733,3821
16620,716,186,424618,3822
16641,930,199,425928,3828
16662,2854,195,429082,3832
16683,1963,187,431180,3832
16704,1735,176,433157,3835
16725,1568,178,435160,3837
16746,1382,175,436617,3840
16767,473,174,437284,3843
16788,2017,173,438032,3845
16809,1347,173,439175,3850
