,newinfections,hospitalized,recovered,deceased
10,0,0,0,0
31,0,0,0,0
52,0,0,0,0
73,0,0,0,0
94,0,0,0,0
115,0,0,0,0
136,0,0,0,0
157,0,0,0,0
178,3,3,0,0
199,0,3,0,0
220,4,4,0,0
241,5,5,0,0
262,2,5,0,0
283,0,6,0,0
304,0,6,0,0
325,1,6,0,0
346,1,7,0,0
367,0,7,0,0
388,1,8,0,0
409,0,8,0,0
430,0,7,0,0
451,4,8,5,1
472,4,12,5,1
493,3,13,6,1
514,18,25,6,2
535,4,26,6,5
556,11,27,7,7
577,5,31,7,7
598,1,32,10,7
619,6,34,10,8
640,0,33,12,8
661,30,35,14,8
682,6,35,14,9
703,14,35,16,9
724,4,34,18,9
745,7,35,18,9
766,10,37,18,9
787,16,40,19,10
808,5,38,21,11
829,11,39,21,11
850,30,37,24,11
871,18,39,24,13
892,0,39,24,13
913,0,40,26,13
934,2,34,32,13
955,8,34,32,13
976,9,32,37,13
997,3,32,39,14
1018,11,31,40,15
1039,0,32,40,15
1060,0,30,42,15
1081,6,31,42,15
1102,0,29,44,16
1123,6,30,45,16
1144,0,31,44,16
1165,10,31,47,17
1186,2,29,50,18
1207,1,29,51,18
1228,2,23,60,19
1249,0,20,66,20
1270,3,20,67,20
1291,5,20,73,21
1312,4,21,75,21
1333,0,21,75,21
1354,1,19,81,21
1375,0,18,83,21
1396,1,18,87,21
1417,2,18,89,21
1438,1,10,98,21
1459,0,9,98,22
1480,0,10,101,22
1501,0,10,102,22
1522,3,9,103,22
1543,1,8,113,22
1564,22,6,121,22
1585,20,8,120,22
1606,23,9,130,22
1627,13,11,132,22
1648,3,14,138,22
1669,15,10,148,22
1690,2,11,152,22
1711,4,10,158,22
1732,3,10,173,22
1753,1,13,173,22
1774,11,11,183,22
1795,0,11,188,22
1816,0,9,202,22
1837,1,10,207,22
1858,3,10,220,22
1879,5,10,220,22
1900,1,8,227,22
1921,0,7,233,22
1942,0,7,236,22
1963,2,5,246,22
1984,1,5,250,22
2005,1,5,252,22
2026,0,5,258,22
2047,0,4,269,22
2068,0,4,279,22
2089,0,5,281,22
2110,0,3,287,22
2131,0,2,288,23
2152,0,2,291,23
2173,0,2,292,23
2194,0,2,293,23
2215,0,2,294,23
2236,2,2,295,23
2257,1,2,296,23
2278,0,2,300,23
2299,0,2,302,23
2320,0,0,319,23
2341,0,0,342,23
2362,0,0,346,23
2383,0,1,351,23
2404,1,1,355,23
2425,0,1,357,23
2446,1,2,365,23
2467,0,2,365,23
2488,0,2,378,23
2509,3,3,378,23
2530,0,3,378,23
2551,0,2,378,23
2572,0,2,385,23
2593,1,1,393,23
2614,0,0,396,23
2635,0,0,396,23
2656,0,0,396,23
2677,0,0,397,23
2698,0,0,397,23
2719,0,0,401,23
2740,0,0,401,23
2761,0,0,401,23
2782,0,0,401,23
2803,0,0,401,23
2824,0,0,404,23
2845,0,0,405,23
2866,0,0,407,23
2887,0,0,407,23
2908,0,0,410,23
2929,1,1,410,23
2950,0,1,410,23
2971,0,1,414,23
2992,0,1,414,23
3013,0,1,414,23
3034,0,1,415,23
3055,0,1,415,23
3076,0,1,415,23
3097,0,1,415,23
3118,0,1,415,23
3139,4,1,416,23
3160,9,0,419,23
3181,1,0,419,23
3202,3,0,419,23
3223,3,1,421,23
3244,3,1,421,23
3265,0,1,421,23
3286,1,1,421,23
3307,0,1,421,23
3328,1,1,421,23
3349,2,1,421,23
3370,2,1,421,23
3391,2,1,421,23
3412,0,1,421,23
3433,1,1,421,23
3454,0,1,421,23
3475,1,1,421,23
3496,0,1,421,23
3517,0,1,421,23
3538,0,1,423,23
3559,0,1,423,23
3580,0,0,427,23
3601,6,0,427,23
3622,0,0,427,23
3643,2,0,429,23
3664,0,0,429,23
3685,0,0,429,23
3706,9,0,429,23
3727,7,0,429,23
3748,4,1,429,23
3769,2,1,430,23
3790,1,1,430,23
3811,1,1,430,23
3832,0,2,432,23
3853,0,2,432,23
3874,9,3,432,23
3895,1,3,432,23
3916,1,3,432,23
3937,2,3,432,23
3958,1,3,432,23
3979,0,3,432,23
4000,3,3,432,23
4021,0,3,432,23
4042,2,3,432,23
4063,4,3,433,23
4084,0,3,436,23
4105,2,3,436,23
4126,9,3,436,23
4147,3,5,437,23
4168,4,4,437,23
4189,3,4,437,23
4210,4,4,448,23
4231,3,3,449,23
4252,3,4,449,23
