,newinfections,hospitalized,recovered,deceased
19,0,0,0,0
40,0,0,0,0
61,0,0,0,0
82,0,0,0,0
103,0,0,0,0
124,0,0,0,0
145,0,0,0,0
166,0,0,0,0
187,0,0,0,0
208,0,0,0,0
229,2,0,0,0
250,5,0,0,0
271,1,1,0,0
292,1,1,0,0
313,6,4,0,0
334,2,2,0,0
355,3,2,0,1
376,7,7,0,1
397,1,6,0,1
418,14,12,0,1
439,15,13,0,1
460,48,33,0,2
481,31,41,0,2
502,29,44,0,3
523,50,56,0,6
544,49,63,0,7
565,49,77,1,8
586,51,84,1,9
607,29,89,2,12
628,7,91,2,19
649,1,95,2,24
670,7,97,2,28
691,44,115,2,37
712,59,116,2,41
733,73,116,2,43
754,0,118,16,50
775,44,117,20,56
796,3,112,32,59
817,37,110,49,63
838,51,110,89,70
859,29,86,106,82
880,34,119,115,91
901,23,130,142,96
922,30,135,142,100
943,15,140,142,102
964,18,136,154,105
985,11,147,170,107
1006,23,135,205,107
1027,19,125,221,112
1048,6,124,230,115
1069,20,126,270,118
1090,11,123,289,121
1111,13,117,331,122
1132,22,117,379,123
1153,80,117,400,124
1174,15,112,401,125
1195,0,110,413,127
1216,5,107,445,126
1237,2,100,467,127
1258,1,100,506,127
1279,4,95,617,129
1300,0,89,657,130
1321,6,89,721,131
1342,5,93,743,133
1363,8,86,775,135
1384,5,83,852,137
1405,4,80,902,137
1426,5,75,904,137
1447,3,73,901,137
1468,6,76,895,138
1489,1,76,894,139
1510,0,59,894,139
1531,3,53,880,139
1552,4,51,881,139
1573,1,47,889,139
1594,1,48,895,139
1615,5,48,905,139
1636,1,45,912,139
1657,2,45,916,140
1678,3,38,929,141
1699,3,38,945,141
1720,6,37,953,142
1741,1,33,956,142
1762,0,31,962,143
1783,1,30,971,143
1804,1,27,983,143
1825,0,26,986,143
1846,1,27,990,143
1867,1,24,991,143
1888,0,25,999,143
1909,1,24,1003,143
1930,1,20,1003,143
1951,2,18,1007,143
1972,0,18,1011,143
1993,1,16,1016,143
2014,0,12,1020,143
2035,1,13,1023,143
2056,1,12,1026,143
2077,3,11,1027,143
2098,0,10,1031,143
2119,0,9,1031,143
2140,0,9,1034,143
2161,0,9,1034,143
2182,2,7,1033,144
2203,2,6,1038,144
2224,0,7,1039,144
2245,0,7,1039,144
2266,0,3,1041,144
2287,0,6,1041,144
2308,0,6,1038,144
2329,0,7,1040,144
2350,0,7,1040,144
2371,0,7,1035,144
2392,0,6,1037,144
2413,0,5,1039,144
2434,0,5,1040,145
2455,0,4,1041,146
2476,2,4,1041,146
2497,0,4,1042,146
2518,0,4,1042,146
2539,0,3,1042,146
2560,1,3,1042,146
2581,0,2,1043,146
2602,0,2,1044,146
2623,0,2,1044,146
2644,0,3,1044,146
2665,0,3,1045,146
2686,1,4,1045,146
2707,0,2,1046,146
2728,0,2,1046,146
2749,1,3,1046,146
2770,0,3,1046,146
2791,0,4,1045,146
2812,0,4,1045,146
2833,0,4,1045,146
2854,0,4,1045,146
2875,0,4,1045,146
2896,0,4,1045,146
2917,0,2,1047,146
2938,0,2,1047,146
2959,0,2,1047,146
2980,0,3,1046,146
3001,0,1,1048,146
3022,0,1,1048,146
3043,0,2,1048,146
3064,0,2,1048,146
3085,0,2,1047,146
3106,0,1,1049,146
3127,0,1,1049,146
3148,0,1,1049,146
3169,0,1,1049,146
3190,0,1,1049,146
3211,0,1,1049,146
3232,0,1,1049,146
3253,0,1,1049,146
3274,10,1,1049,146
3295,2,1,1049,146
3316,0,1,1050,146
3337,0,1,1050,146
3358,0,1,1050,146
3379,1,1,1050,146
3400,0,1,1050,146
3421,0,1,1050,146
3442,0,1,1051,146
3463,1,1,1051,146
3484,4,5,1051,146
3505,2,5,1051,146
3526,0,5,1056,146
3547,1,5,1056,146
3568,0,5,1056,146
3589,0,5,1056,146
3610,0,3,1057,146
3631,0,3,1058,146
3652,0,2,1060,146
3673,0,2,1062,146
3694,1,1,1064,146
3715,0,1,1064,146
3736,2,1,1064,146
3757,1,1,1064,146
3778,0,1,1064,146
3799,0,1,1064,146
3820,0,1,1064,146
3841,0,1,1064,146
3862,2,1,1064,146
3883,0,0,1065,146
3904,1,0,1065,146
3925,2,1,1065,146
3946,4,1,1065,146
3967,2,2,1063,146
3988,9,2,1064,146
4009,0,3,1065,146
4030,2,3,1065,146
4051,4,3,1065,146
4072,2,2,1068,146
4093,0,1,1069,146
4114,0,1,1069,146
4135,0,1,1069,146
4156,5,2,1069,146
4177,0,2,1074,146
4198,0,2,1077,146
4219,3,2,1078,146
4240,1,3,1078,146
4261,2,3,1078,146
4282,3,4,1078,146
4303,3,5,1078,146
4324,1,5,1079,146
4345,1,5,1081,146
4366,8,6,1081,146
4387,0,6,1082,146
4408,3,4,1082,146
4429,2,3,1087,146
4450,1,4,1087,146
4471,2,4,1080,146
4492,3,3,1085,146
4513,1,3,1087,146
4534,11,3,1087,146
4555,0,3,1087,146
4576,1,3,1089,146
4597,8,4,1093,146
4618,6,6,1093,146
4639,1,7,1100,146
4660,11,8,1103,146
4681,0,7,1105,146
4702,7,6,1106,146
4723,13,7,1107,146
4744,5,6,1112,146
4765,15,5,1113,146
4786,18,5,1116,146
4807,18,6,1117,146
4828,44,9,1120,146
4849,18,11,1121,146
4870,32,12,1125,146
4891,33,14,1125,146
4912,37,16,1125,146
4933,67,17,1127,146
4954,27,17,1132,146
4975,78,19,1134,146
4996,73,22,1137,146
5017,135,30,1142,146
5038,75,41,1150,146
5059,111,47,1155,146
5080,87,51,1165,149
5101,97,53,1166,149
5122,112,60,1183,152
5143,97,65,1191,153
5164,144,77,1199,154
5185,57,106,1203,156
5206,77,114,1216,157
5227,178,127,1235,162
5248,155,134,1253,166
5269,104,153,1259,168
5290,135,173,1281,174
5311,122,179,1306,179
5332,94,183,1361,180
5353,129,163,1415,181
5374,114,172,1493,189
5395,129,167,1600,195
5416,117,168,1697,202
5437,55,172,1758,205
5458,201,174,1863,207
5479,127,176,1946,218
5500,125,177,2031,225
5521,167,175,2186,231
5542,103,164,2261,234
5563,245,159,2564,240
5584,143,160,2703,248
5605,99,167,2826,253
5626,154,169,3079,257
5647,87,163,3234,259
5668,91,156,3371,271
5689,155,158,3474,278
5710,91,160,3641,281
5731,99,158,3818,285
5752,77,159,3960,290
5773,73,157,4113,292
5794,27,153,4219,297
5815,44,145,4328,302
5836,101,144,4495,302
5857,72,144,4641,310
5878,47,151,4702,311
5899,47,135,4878,315
5920,25,136,4953,317
5941,42,135,5049,322
5962,42,124,5177,324
5983,27,120,5240,326
6004,46,116,5306,330
6025,34,110,5406,333
6046,22,115,5469,335
6067,18,105,5557,339
6088,17,103,5584,343
6109,18,108,5674,344
6130,11,97,5749,347
6151,25,84,5823,351
6172,34,82,5896,353
6193,14,83,5944,353
6214,20,80,6022,356
6235,38,74,6060,360
6256,19,78,6105,362
6277,24,77,6121,365
6298,23,80,6149,366
6319,22,82,6191,368
6340,9,88,6198,368
6361,33,95,6249,368
6382,11,88,6284,370
6403,35,87,6321,371
6424,11,88,6331,371
6445,24,81,6364,372
6466,27,85,6375,374
6487,61,99,6372,376
6508,0,74,6439,378
6529,14,74,6459,379
6550,29,77,6483,379
6571,17,76,6501,381
6592,7,78,6501,383
6613,35,68,6532,386
6634,27,64,6562,387
6655,21,55,6585,387
6676,26,55,6611,388
6697,33,58,6617,388
6718,25,55,6651,388
6739,22,51,6661,388
6760,19,54,6686,389
6781,27,53,6699,391
6802,14,50,6722,392
6823,19,45,6753,392
6844,16,45,6777,392
6865,20,43,6793,392
6886,20,48,6815,393
6907,18,44,6830,394
6928,11,47,6840,395
6949,34,48,6888,398
6970,14,48,6921,399
6991,17,44,6955,400
7012,19,42,6984,400
7033,5,45,6993,400
7054,17,47,7033,401
7075,8,48,7037,401
7096,2,48,7064,401
7117,17,47,7092,402
7138,8,45,7106,403
7159,8,40,7124,403
7180,1,39,7129,404
7201,16,35,7160,404
7222,3,36,7166,405
7243,4,28,7198,405
7264,11,32,7220,406
7285,11,30,7232,406
7306,8,28,7248,407
7327,8,27,7266,408
7348,1,27,7272,409
7369,13,28,7281,410
7390,14,22,7304,411
7411,7,18,7319,411
7432,9,18,7327,411
7453,9,16,7339,412
7474,9,15,7351,412
7495,5,15,7359,413
7516,9,12,7367,413
7537,4,10,7383,413
7558,14,10,7392,413
7579,11,12,7398,413
7600,8,11,7409,413
7621,4,9,7411,414
7642,5,7,7417,414
7663,14,7,7418,414
7684,4,6,7431,415
7705,14,10,7435,415
7726,2,11,7441,415
7747,13,9,7455,415
7768,10,11,7462,415
7789,33,12,7465,415
7810,3,16,7474,415
7831,6,15,7485,415
7852,9,14,7491,415
7873,11,15,7499,416
7894,15,12,7511,416
7915,16,12,7525,416
7936,7,11,7527,417
7957,30,11,7533,417
7978,8,11,7547,417
7999,20,14,7554,417
8020,33,14,7565,417
8041,28,14,7576,417
8062,31,17,7582,417
8083,34,16,7586,417
8104,36,18,7591,417
8125,24,17,7602,418
8146,49,17,7626,419
8167,37,24,7634,419
8188,63,26,7642,419
8209,61,27,7653,419
8230,28,24,7654,419
8251,52,25,7671,419
8272,30,29,7697,419
8293,70,30,7709,419
8314,61,33,7748,419
8335,57,31,7763,420
8356,125,40,7787,420
8377,77,45,7835,420
8398,27,47,7839,421
8419,76,53,7910,424
8440,62,57,7971,425
8461,52,58,7996,425
8482,115,66,8041,426
8503,79,67,8072,427
8524,102,65,8112,428
