,newinfections,hospitalized,recovered,deceased
20,32,16,0,1
41,10,19,0,1
62,28,24,0,2
83,40,27,0,2
104,40,33,0,2
125,40,35,0,2
146,72,64,0,2
167,10,67,0,2
188,34,68,7,3
209,53,99,9,6
230,47,116,17,10
251,81,144,22,12
272,55,164,25,13
293,127,193,29,18
314,74,237,30,20
335,112,271,47,26
356,167,330,54,29
377,361,445,55,32
398,211,473,100,42
419,342,485,107,55
440,235,555,120,63
461,301,654,130,69
482,231,719,136,80
503,510,841,167,94
524,270,980,200,115
545,547,1079,223,131
566,586,1191,257,146
587,505,1368,309,169
608,383,1487,327,192
629,443,1622,381,216
650,494,1723,439,258
671,493,1773,508,287
692,562,1874,536,313
713,433,1903,655,362
734,428,1941,715,392
755,366,1989,747,413
776,431,2036,828,477
797,470,2068,902,499
818,486,2015,1001,532
839,353,2049,1031,572
860,360,2015,1124,607
881,402,2003,1186,631
902,362,2036,1204,662
923,337,1876,1265,695
944,485,1839,1503,736
965,523,1804,1728,756
986,488,1778,1981,793
1007,347,1716,2188,831
1028,309,1677,2492,856
1049,174,1672,2603,882
1070,181,1660,2790,906
1091,192,1621,2895,940
1112,366,1597,3209,981
1133,384,1556,3730,1026
1154,318,1477,4189,1059
1175,243,1448,4638,1087
1196,192,1453,4954,1112
1217,277,1407,5173,1154
1238,334,1368,5566,1181
1259,143,1329,5750,1206
1280,348,1289,6306,1244
1301,162,1234,6671,1288
1322,80,1221,7018,1315
1343,108,1222,7375,1344
1364,129,1187,7699,1408
1385,117,1156,8019,1437
1406,135,1126,8354,1459
1427,138,1087,8840,1479
1448,126,1078,9291,1502
1469,94,1058,9503,1516
1490,55,1056,9611,1528
1511,29,1024,9741,1545
1532,77,992,10122,1568
1553,74,959,10430,1589
1574,65,910,10804,1627
1595,53,475,11151,1643
1616,51,445,11474,1657
1637,19,438,11615,1666
1658,41,426,11906,1686
1679,31,394,12081,1712
1700,32,368,12384,1743
1721,44,335,12688,1762
1742,39,310,12983,1783
1763,13,295,13106,1794
1784,9,285,13143,1803
1805,47,277,13423,1820
1826,33,271,13666,1832
1847,8,252,13911,1841
1868,21,227,14182,1854
1889,10,219,14363,1865
1910,17,196,14557,1869
1931,11,189,14641,1878
1952,8,188,14788,1886
1973,8,177,14931,1895
1994,12,157,15202,1898
2015,9,144,15379,1906
2036,12,127,15618,1916
2057,6,118,15734,1918
2078,2,116,15768,1918
2099,8,108,15838,1921
2120,2,108,15856,1921
2141,4,99,15915,1934
2162,6,98,16007,1938
2183,8,84,16069,1949
2204,1,82,16144,1954
2225,4,83,16152,1955
2246,4,77,16226,1961
2267,3,66,16268,1961
2288,5,52,16313,1964
2309,0,49,16383,1967
2330,13,42,16457,1977
2351,7,41,16469,1978
2372,1,39,16487,1978
2393,1,37,16521,1982
2414,4,38,16558,1987
2435,8,34,16632,1994
2456,2,31,16655,1998
2477,3,28,16661,2002
2498,7,29,16660,2002
2519,2,30,16659,2003
2540,3,31,16682,2004
2561,3,27,16700,2004
2582,4,30,16724,2006
2603,5,17,16768,2007
2624,2,19,16775,2007
2645,11,17,16807,2008
2666,3,18,16808,2008
2687,8,21,16812,2012
2708,3,17,16849,2022
2729,20,20,16890,2022
2750,5,19,16901,2023
2771,4,17,16907,2023
2792,8,18,16915,2023
2813,1,18,16919,2024
2834,14,19,16922,2034
2855,7,20,16928,2034
2876,10,19,16929,2037
2897,11,17,16936,2039
2918,10,23,16942,2039
2939,16,23,16948,2039
2960,6,25,16950,2039
2981,19,31,16952,2041
3002,21,32,16960,2043
3023,29,33,16968,2047
3044,55,35,16976,2047
3065,34,35,16985,2049
3086,48,35,16990,2050
3107,42,37,16990,2050
3128,22,37,16994,2053
3149,36,37,17007,2057
3170,22,30,17010,2062
3191,30,32,17011,2063
3212,31,31,17021,2064
3233,19,32,17023,2064
3254,16,31,17027,2064
3275,24,33,17026,2069
3296,42,31,17034,2073
3317,112,34,17039,2073
3338,117,36,17046,2074
3359,46,32,17090,2075
3380,45,31,17102,2075
3401,22,29,17106,2076
3422,20,37,17111,2077
3443,41,39,17150,2077
3464,58,42,17178,2077
3485,183,37,17242,2078
3506,63,35,17287,2083
3527,58,34,17333,2083
3548,20,35,17336,2083
3569,65,39,17356,2085
3590,60,39,17376,2092
3611,84,36,17406,2094
3632,127,39,17447,2095
3653,120,42,17476,2096
3674,78,39,17507,2096
3695,46,41,17526,2096
3716,60,48,17530,2098
3737,59,45,17615,2099
3758,159,42,17645,2100
3779,116,48,17683,2102
3800,160,48,17714,2104
3821,145,47,17862,2104
3842,116,47,17919,2104
3863,119,51,17964,2107
3884,147,52,18063,2116
3905,132,63,18131,2117
3926,135,56,18232,2119
3947,151,60,18290,2120
3968,109,59,18399,2120
3989,65,59,18422,2120
4010,97,78,18444,2122
